Name,Team,Nationalaty,Position,age,Matches Played,Matches Starts,Minutes / Div By 90,Goals,Asissts,Yellows,Reds,Total Shots,Passes Attemted,Passes Total Distance,Short Passes,Medium Passes,Long Passes,Cross Passes,Head Pases,Tackeled,Tackeled Dribbels,Pressure Applying,Blocks,Shots Blocks,Clearence,Touches,Touches Defencive Penalty Area,Touches Defencive 3RD,Touches Mid 3RD,Touches Attacking 3RD,Touches Attacking Penalty Area,Touches Live Game,Dribbels Succes,Dribbels Attempted,Carries,Carries To Distance,Carries Proggresive,Carries Proggresive Foword,Carries Tackeled,Reciving Passes,Fouls Commited,Fouls Drawn,Tackele Won,looseBallRecovered,Aerial Duals Won,Aerial Duals Lost
James Ward-Prowse,Southampton,eng ENG,MF,27-054,17,16,16.3,3.0,2.0,2.0,1.0,21.0,841.0,12253.0,298.0,326.0,193.0,42.0,38.0,23.0,6.0,228.0,25.0,6.0,13.0,977.0,33.0,184.0,533.0,295.0,13.0,827.0,9.0,13.0,525.0,1840.0,839.0,43.0,14.0,591.0,20.0,17.0,15.0,166.0,14.0,22.0
Jamie Shackleton,Leeds United,eng ENG,DF,22-078,13,9,9.3,0.0,0.0,4.0,0.0,3.0,365.0,5235.0,170.0,149.0,28.0,7.0,9.0,24.0,8.0,98.0,16.0,7.0,10.0,442.0,25.0,166.0,216.0,91.0,12.0,383.0,7.0,13.0,282.0,1391.0,740.0,26.0,6.0,281.0,12.0,9.0,21.0,57.0,7.0,13.0
Jamie Vardy,Leicester City,eng ENG,FW,34-348,21,17,16.8,11.0,1.0,2.0,0.0,44.0,196.0,2332.0,90.0,78.0,15.0,16.0,12.0,3.0,0.0,199.0,8.0,1.0,11.0,298.0,12.0,21.0,129.0,169.0,72.0,267.0,8.0,13.0,155.0,1020.0,627.0,35.0,8.0,498.0,11.0,12.0,3.0,31.0,20.0,32.0
Jan Bednarek,Southampton,pl POL,DF,25-257,14,12,12.5,1.0,0.0,3.0,0.0,5.0,565.0,9662.0,161.0,284.0,117.0,2.0,41.0,16.0,5.0,82.0,17.0,9.0,66.0,693.0,82.0,359.0,344.0,25.0,9.0,668.0,1.0,1.0,381.0,1711.0,914.0,11.0,1.0,413.0,9.0,8.0,11.0,120.0,43.0,21.0
Jannik Vestergaard,Leicester City,dk DEN,DF,29-144,13,7,7.9,0.0,0.0,2.0,0.0,3.0,374.0,7772.0,91.0,200.0,76.0,1.0,12.0,15.0,7.0,54.0,13.0,9.0,43.0,455.0,80.0,241.0,218.0,13.0,6.0,448.0,3.0,4.0,295.0,1627.0,787.0,23.0,0.0,313.0,6.0,2.0,13.0,58.0,26.0,11.0
Japhet Tanganga,Tottenham,eng ENG,DF,22-269,13,11,9.6,0.0,0.0,3.0,1.0,5.0,236.0,3234.0,109.0,84.0,36.0,9.0,12.0,11.0,2.0,76.0,12.0,4.0,23.0,312.0,29.0,113.0,135.0,86.0,9.0,270.0,2.0,5.0,159.0,684.0,447.0,16.0,8.0,189.0,16.0,8.0,9.0,30.0,14.0,7.0
Jarrad Branthwaite,Everton,eng ENG,DF,19-181,2,2,1.6,1.0,0.0,0.0,0.0,1.0,18.0,99.0,5.0,3.0,8.0,0.0,0.0,3.0,1.0,9.0,3.0,0.0,2.0,28.0,6.0,21.0,8.0,2.0,2.0,26.0,0.0,0.0,13.0,85.0,64.0,0.0,2.0,7.0,3.0,2.0,2.0,8.0,2.0,1.0
Jarrell Quansah,Liverpool,eng ENG,DF,18-330,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jarrod Bowen,West Ham,eng ENG,FW,25-005,25,20,20.8,5.0,5.0,2.0,0.0,53.0,505.0,6641.0,202.0,148.0,118.0,40.0,16.0,24.0,7.0,308.0,30.0,2.0,4.0,752.0,17.0,109.0,283.0,413.0,95.0,691.0,22.0,50.0,507.0,3067.0,1323.0,64.0,39.0,729.0,16.0,35.0,14.0,112.0,20.0,34.0
Jason Steele,Brighton,eng ENG,GK,31-129,4,4,4.0,0.0,0.0,0.0,0.0,0.0,38.0,824.0,8.0,19.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,37.0,42.0,0.0,0.0,0.0,36.0,0.0,0.0,28.0,90.0,36.0,0.0,0.0,28.0,0.0,0.0,0.0,3.0,0.0,0.0
Javier Manquillo,Newcastle Utd,es ESP,DF,27-234,12,12,11.3,1.0,2.0,4.0,0.0,5.0,304.0,3224.0,150.0,97.0,37.0,9.0,21.0,31.0,11.0,124.0,23.0,6.0,25.0,421.0,46.0,178.0,170.0,91.0,10.0,356.0,6.0,9.0,194.0,855.0,396.0,15.0,5.0,199.0,7.0,13.0,19.0,80.0,15.0,11.0
Jay Rodriguez,Burnley,eng ENG,FW,32-149,15,5,6.3,4.0,1.0,3.0,0.0,24.0,73.0,691.0,45.0,19.0,7.0,3.0,12.0,6.0,1.0,77.0,8.0,2.0,0.0,123.0,2.0,17.0,54.0,62.0,17.0,123.0,2.0,4.0,57.0,380.0,140.0,8.0,5.0,190.0,15.0,8.0,4.0,18.0,20.0,27.0
Jaïro Riedewald,Crystal Palace,nl NED,MF,25-107,2,1,1.1,0.0,0.0,0.0,0.0,0.0,44.0,751.0,15.0,21.0,7.0,0.0,2.0,2.0,2.0,9.0,2.0,0.0,2.0,54.0,1.0,16.0,33.0,12.0,1.0,50.0,0.0,2.0,36.0,152.0,54.0,3.0,1.0,38.0,1.0,0.0,2.0,10.0,0.0,1.0
Jean-Philippe Gbamin,Everton,ci CIV,MF,26-091,4,2,1.7,0.0,0.0,0.0,0.0,0.0,21.0,224.0,14.0,5.0,2.0,1.0,3.0,2.0,0.0,14.0,0.0,0.0,1.0,28.0,1.0,8.0,22.0,1.0,0.0,28.0,1.0,2.0,19.0,113.0,69.0,2.0,2.0,20.0,1.0,3.0,2.0,7.0,1.0,0.0
Jean-Philippe Mateta,Crystal Palace,fr FRA,FW,24-180,3,2,1.4,0.0,0.0,0.0,0.0,2.0,11.0,68.0,9.0,1.0,0.0,0.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,16.0,2.0,5.0,11.0,1.0,0.0,13.0,2.0,2.0,6.0,18.0,0.0,0.0,0.0,22.0,5.0,2.0,0.0,1.0,5.0,1.0
Jed Steer,Aston Villa,eng ENG,GK,29-093,3,3,3.0,0.0,0.0,0.0,0.0,0.0,36.0,759.0,2.0,16.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,33.0,36.0,1.0,0.0,0.0,28.0,0.0,0.0,19.0,77.0,52.0,0.0,0.0,20.0,0.0,0.0,0.0,6.0,0.0,0.0
Jeff Hendrick,Newcastle Utd,ie IRL,MF,29-328,4,1,1.8,1.0,0.0,0.0,0.0,7.0,27.0,452.0,11.0,11.0,4.0,1.0,0.0,1.0,1.0,16.0,0.0,0.0,1.0,32.0,1.0,4.0,20.0,9.0,1.0,32.0,1.0,1.0,25.0,75.0,26.0,1.0,1.0,26.0,4.0,2.0,2.0,6.0,1.0,1.0
Jeffrey Schlupp,Crystal Palace,gh GHA,"MF,FW",29-002,13,5,5.4,1.0,0.0,0.0,0.0,9.0,110.0,1384.0,45.0,43.0,14.0,8.0,9.0,8.0,5.0,80.0,12.0,3.0,6.0,179.0,7.0,39.0,83.0,66.0,13.0,178.0,6.0,11.0,106.0,495.0,253.0,12.0,11.0,146.0,9.0,4.0,5.0,32.0,13.0,6.0
