Name,Team,Nationalaty,Position,age,Matches Played_x,Matches Starts_x,Minutes / Div By 90_x,Goals_x,Asissts_x,Yellows_x,Reds_x,Total Shots_x,Passes Attemted_x,Passes Total Distance_x,Short Passes_x,Medium Passes_x,Long Passes_x,Cross Passes_x,Head Pases_x,Tackeled_x,Tackeled Dribbels_x,Pressure Applying_x,Blocks_x,Shots Blocks_x,Clearence_x,Touches_x,Touches Defencive Penalty Area_x,Touches Defencive 3RD_x,Touches Mid 3RD_x,Touches Attacking 3RD_x,Touches Attacking Penalty Area_x,Touches Live Game_x,Dribbels Succes_x,Dribbels Attempted_x,Carries_x,Carries To Distance_x,Carries Proggresive_x,Carries Proggresive Foword_x,Carries Tackeled_x,Reciving Passes_x,Fouls Commited_x,Fouls Drawn_x,Tackele Won_x,looseBallRecovered_x,Aerial Duals Won_x,Aerial Duals Lost_x,Matches Played_y,Matches Starts_y,Minutes / Div By 90_y,Goals_y,Asissts_y,Yellows_y,Reds_y,Total Shots_y,Passes Attemted_y,Passes Total Distance_y,Short Passes_y,Medium Passes_y,Long Passes_y,Cross Passes_y,Head Pases_y,Tackeled_y,Tackeled Dribbels_y,Pressure Applying_y,Blocks_y,Shots Blocks_y,Clearence_y,Touches_y,Touches Defencive Penalty Area_y,Touches Defencive 3RD_y,Touches Mid 3RD_y,Touches Attacking 3RD_y,Touches Attacking Penalty Area_y,Touches Live Game_y,Dribbels Succes_y,Dribbels Attempted_y,Carries_y,Carries To Distance_y,Carries Proggresive_y,Carries Proggresive Foword_y,Carries Tackeled_y,Reciving Passes_y,Fouls Commited_y,Fouls Drawn_y,Tackele Won_y,looseBallRecovered_y,Aerial Duals Won_y,Aerial Duals Lost_y
Daniel James,8,58,5,24,18,17,15.2,1.0,1.0,0.0,0.0,32.0,287.0,2775.0,149.0,94.0,27.0,34.0,9.0,21.0,6.0,216.0,11.0,0.0,8.0,441.0,12.0,49.0,153.0,273.0,64.0,431.0,10.0,28.0,313.0,2100.0,1264.0,79.0,21.0,477.0,12.0,24.0,13.0,66.0,7.0,19.0,26.0,18.0,16.9,5.0,2.0,3.0,0.0,30.0,464.0,5064.0,257.0,142.0,24.0,34.0,9.0,20.0,4.0,331.0,18.0,1.0,8.0,637.0,10.0,80.0,253.0,360.0,64.0,633.0,16.0,26.0,457.0,2877.0,1734.0,93.0,30.0,639.0,20.0,33.0,16.0,81.0,13.0,16.0
Daniel Podence,19,46,5,26,14,6,6.5,2.0,2.0,0.0,0.0,19.0,170.0,1994.0,83.0,53.0,18.0,15.0,6.0,3.0,2.0,57.0,3.0,0.0,0.0,219.0,0.0,27.0,81.0,132.0,16.0,208.0,14.0,23.0,174.0,904.0,628.0,40.0,6.0,254.0,3.0,11.0,3.0,22.0,1.0,8.0,25.0,22.0,18.6,3.0,2.0,3.0,0.0,32.0,636.0,8742.0,285.0,219.0,96.0,29.0,14.0,18.0,6.0,243.0,7.0,1.0,6.0,818.0,10.0,105.0,414.0,373.0,66.0,793.0,37.0,65.0,646.0,3275.0,1920.0,87.0,30.0,820.0,15.0,34.0,7.0,113.0,8.0,21.0
Danny Ings,1,20,3,29,12,10,9.7,3.0,2.0,1.0,0.0,12.0,160.0,1399.0,85.0,43.0,15.0,12.0,14.0,8.0,3.0,160.0,14.0,3.0,6.0,258.0,8.0,30.0,108.0,128.0,55.0,244.0,8.0,16.0,130.0,547.0,288.0,14.0,5.0,328.0,6.0,7.0,3.0,45.0,7.0,25.0,33.0,30.0,28.0,13.0,4.0,1.0,0.0,67.0,519.0,5196.0,261.0,152.0,63.0,25.0,25.0,25.0,11.0,391.0,47.0,3.0,17.0,818.0,24.0,84.0,376.0,405.0,122.0,805.0,37.0,64.0,550.0,2252.0,1033.0,59.0,33.0,1027.0,29.0,29.0,14.0,109.0,21.0,62.0
Danny Rose,17,20,0,31,9,8,8.7,0.0,0.0,5.0,0.0,4.0,331.0,4638.0,91.0,132.0,88.0,17.0,20.0,23.0,12.0,85.0,15.0,6.0,13.0,410.0,34.0,138.0,182.0,112.0,4.0,306.0,9.0,15.0,175.0,835.0,508.0,25.0,6.0,192.0,13.0,19.0,16.0,51.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danny Ward,9,58,6,28,2,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,53.0,1161.0,8.0,13.0,32.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,50.0,55.0,1.0,0.0,0.0,39.0,0.0,0.0,33.0,196.0,68.0,0.0,0.0,32.0,0.0,0.0,0.0,6.0,0.0,0.0
Danny Welbeck,3,20,5,31,4,3,2.7,1.0,0.0,0.0,0.0,4.0,42.0,455.0,24.0,10.0,4.0,0.0,3.0,3.0,0.0,49.0,5.0,0.0,1.0,76.0,2.0,6.0,31.0,44.0,9.0,75.0,2.0,3.0,44.0,228.0,137.0,10.0,9.0,101.0,2.0,4.0,2.0,9.0,5.0,7.0,24.0,17.0,17.2,6.0,1.0,0.0,0.0,33.0,268.0,2962.0,166.0,63.0,16.0,5.0,12.0,12.0,4.0,255.0,23.0,3.0,11.0,449.0,17.0,44.0,156.0,275.0,94.0,444.0,17.0,28.0,312.0,1528.0,820.0,44.0,24.0,733.0,21.0,20.0,8.0,61.0,20.0,47.0
David Raya,2,21,6,26,9,9,9.0,0.0,0.0,0.0,0.0,0.0,413.0,8805.0,42.0,112.0,256.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,351.0,430.0,5.0,0.0,0.0,327.0,0.0,0.0,218.0,1116.0,585.0,0.0,0.0,216.0,0.0,1.0,0.0,59.0,0.0,0.0,45.0,45.0,45.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0
David de Gea,12,21,6,31,21,21,21.0,0.0,0.0,0.0,0.0,0.0,487.0,10609.0,63.0,162.0,255.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,546.0,514.0,546.0,0.0,0.0,0.0,346.0,0.0,0.0,190.0,839.0,420.0,0.0,0.0,204.0,0.0,0.0,0.0,50.0,0.0,0.0,36.0,36.0,35.8,0.0,0.0,0.0,0.0,0.0,858.0,18003.0,173.0,265.0,410.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,929.0,849.0,927.0,2.0,0.0,0.0,618.0,0.0,0.0,348.0,1415.0,611.0,0.0,0.0,366.0,0.0,4.0,0.0,121.0,0.0,0.0
Davinson Sánchez,16,13,0,25,15,12,12.9,1.0,0.0,2.0,0.0,7.0,335.0,5900.0,100.0,162.0,66.0,0.0,13.0,17.0,8.0,78.0,16.0,8.0,39.0,427.0,62.0,233.0,194.0,20.0,8.0,421.0,0.0,1.0,251.0,1284.0,567.0,21.0,4.0,291.0,12.0,6.0,12.0,53.0,22.0,19.0,29.0,28.0,28.2,2.0,0.0,3.0,0.0,12.0,1428.0,26663.0,378.0,707.0,317.0,0.0,74.0,58.0,25.0,230.0,35.0,19.0,164.0,1714.0,248.0,968.0,808.0,24.0,11.0,1680.0,0.0,0.0,1069.0,5090.0,2269.0,56.0,4.0,1144.0,37.0,21.0,40.0,256.0,71.0,40.0
Dean Henderson,12,20,6,24,2,2,1.7,0.0,0.0,0.0,0.0,0.0,30.0,479.0,1.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,31.0,34.0,0.0,0.0,0.0,28.0,0.0,0.0,16.0,90.0,36.0,0.0,0.0,14.0,0.0,0.0,0.0,5.0,0.0,0.0,26.0,25.0,25.8,0.0,0.0,3.0,0.0,0.0,455.0,9168.0,78.0,168.0,207.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,501.0,445.0,500.0,1.0,0.0,0.0,351.0,0.0,0.0,213.0,1076.0,572.0,0.0,0.0,189.0,0.0,3.0,0.0,69.0,0.0,0.0
Declan Rice,18,20,7,22,22,22,21.6,3.0,3.0,5.0,0.0,18.0,1190.0,21228.0,439.0,526.0,203.0,21.0,49.0,48.0,15.0,291.0,37.0,13.0,24.0,1396.0,79.0,392.0,890.0,263.0,31.0,1378.0,22.0,34.0,986.0,7073.0,3535.0,132.0,14.0,1001.0,31.0,13.0,30.0,217.0,31.0,14.0,35.0,35.0,35.3,2.0,1.0,2.0,0.0,26.0,1506.0,25003.0,580.0,628.0,261.0,36.0,64.0,77.0,24.0,495.0,54.0,13.0,46.0,1800.0,99.0,508.0,1125.0,327.0,40.0,1776.0,33.0,37.0,1197.0,8223.0,4320.0,165.0,21.0,1271.0,27.0,20.0,58.0,315.0,47.0,29.0
Dele Alli,16,20,7,25,15,11,10.1,2.0,1.0,2.0,0.0,5.0,187.0,2357.0,97.0,56.0,25.0,6.0,10.0,17.0,5.0,176.0,22.0,5.0,11.0,290.0,22.0,75.0,150.0,85.0,20.0,281.0,5.0,17.0,186.0,792.0,417.0,17.0,16.0,219.0,13.0,14.0,7.0,44.0,9.0,13.0,27.0,15.0,13.9,2.0,5.0,3.0,0.0,25.0,617.0,8053.0,287.0,228.0,61.0,16.0,11.0,30.0,7.0,319.0,22.0,1.0,6.0,793.0,13.0,98.0,451.0,301.0,50.0,761.0,15.0,33.0,552.0,2619.0,1170.0,59.0,32.0,745.0,25.0,33.0,24.0,104.0,15.0,18.0
Demarai Gray,7,20,9,25,18,15,14.1,5.0,2.0,3.0,0.0,36.0,381.0,5243.0,143.0,130.0,76.0,31.0,10.0,16.0,7.0,157.0,14.0,0.0,6.0,562.0,8.0,49.0,236.0,341.0,51.0,534.0,18.0,38.0,425.0,3008.0,1750.0,95.0,22.0,563.0,8.0,27.0,10.0,65.0,3.0,24.0,2.0,1.0,1.2,0.0,0.0,0.0,0.0,4.0,11.0,116.0,4.0,2.0,2.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,16.0,0.0,3.0,3.0,11.0,1.0,15.0,0.0,0.0,13.0,69.0,28.0,2.0,1.0,13.0,0.0,1.0,2.0,2.0,0.0,0.0
Diego Llorente,8,21,0,28,15,15,13.2,1.0,0.0,4.0,0.0,5.0,656.0,12252.0,123.0,354.0,164.0,0.0,31.0,17.0,8.0,166.0,35.0,9.0,48.0,789.0,123.0,479.0,351.0,26.0,5.0,769.0,6.0,8.0,506.0,3752.0,2450.0,31.0,5.0,516.0,14.0,14.0,11.0,123.0,25.0,21.0,15.0,14.0,13.4,1.0,0.0,1.0,0.0,8.0,665.0,13050.0,108.0,405.0,136.0,2.0,16.0,39.0,16.0,250.0,25.0,13.0,72.0,839.0,158.0,559.0,311.0,20.0,9.0,823.0,5.0,5.0,509.0,3672.0,2231.0,32.0,7.0,525.0,24.0,12.0,27.0,117.0,40.0,26.0
Dimitris Giannoulis,14,28,0,26,11,7,6.6,0.0,1.0,1.0,0.0,2.0,311.0,3794.0,139.0,117.0,44.0,18.0,9.0,14.0,8.0,80.0,18.0,2.0,11.0,392.0,32.0,157.0,174.0,91.0,7.0,338.0,16.0,27.0,260.0,1305.0,763.0,28.0,3.0,240.0,5.0,18.0,8.0,53.0,3.0,4.0,16.0,16.0,14.5,0.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,19.0,18.0,0.0,0.0,0.0
Diogo Dalot,12,46,0,22,10,5,6.6,0.0,0.0,2.0,0.0,4.0,306.0,4987.0,107.0,132.0,62.0,22.0,17.0,18.0,6.0,62.0,6.0,2.0,17.0,376.0,19.0,99.0,209.0,104.0,9.0,318.0,5.0,13.0,199.0,1009.0,623.0,31.0,6.0,224.0,8.0,1.0,13.0,59.0,15.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Diogo Jota,10,46,3,25,22,17,17.0,12.0,1.0,2.0,0.0,62.0,476.0,5810.0,227.0,176.0,37.0,8.0,19.0,23.0,4.0,333.0,13.0,3.0,5.0,715.0,11.0,67.0,317.0,377.0,113.0,711.0,23.0,48.0,490.0,2391.0,1567.0,81.0,35.0,832.0,24.0,34.0,16.0,89.0,22.0,50.0,30.0,19.0,19.6,13.0,1.0,2.0,0.0,68.0,655.0,7520.0,336.0,210.0,67.0,23.0,19.0,18.0,6.0,409.0,20.0,2.0,4.0,934.0,10.0,80.0,420.0,509.0,139.0,930.0,33.0,67.0,685.0,3886.0,2413.0,118.0,45.0,999.0,38.0,42.0,12.0,109.0,22.0,54.0
Divock Origi,10,5,3,26,10,4,4.4,5.0,2.0,0.0,0.0,23.0,59.0,567.0,38.0,10.0,3.0,5.0,2.0,4.0,1.0,45.0,3.0,0.0,0.0,113.0,1.0,4.0,39.0,77.0,32.0,112.0,5.0,9.0,83.0,376.0,195.0,15.0,8.0,126.0,7.0,8.0,4.0,16.0,4.0,3.0,17.0,6.0,6.0,1.0,2.0,0.0,0.0,13.0,116.0,1267.0,60.0,39.0,7.0,6.0,2.0,9.0,3.0,84.0,6.0,1.0,6.0,183.0,5.0,21.0,78.0,99.0,19.0,179.0,2.0,7.0,132.0,552.0,297.0,16.0,13.0,227.0,3.0,10.0,6.0,24.0,4.0,14.0
Dominic Calvert-Lewin,7,20,3,24,3,3,2.8,3.0,0.0,0.0,0.0,9.0,49.0,375.0,28.0,10.0,2.0,0.0,5.0,0.0,0.0,20.0,1.0,1.0,2.0,84.0,3.0,10.0,34.0,41.0,15.0,77.0,0.0,2.0,34.0,99.0,22.0,1.0,1.0,119.0,3.0,5.0,0.0,12.0,10.0,16.0,39.0,38.0,36.7,21.0,1.0,3.0,0.0,100.0,669.0,7196.0,369.0,193.0,53.0,15.0,52.0,17.0,2.0,347.0,31.0,8.0,31.0,1067.0,43.0,96.0,480.0,545.0,156.0,1049.0,20.0,46.0,555.0,3007.0,1148.0,63.0,50.0,1604.0,46.0,50.0,13.0,115.0,143.0,147.0
Dominic Thompson,2,20,0,21,2,2,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,7.3,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,5.0,0.0,0.0,0.0
Donny van de Beek,12,42,7,24,12,4,4.1,1.0,0.0,1.0,0.0,4.0,151.0,2279.0,74.0,54.0,16.0,1.0,6.0,12.0,3.0,55.0,3.0,2.0,5.0,191.0,10.0,60.0,109.0,30.0,5.0,190.0,4.0,6.0,120.0,427.0,182.0,11.0,8.0,146.0,9.0,4.0,9.0,30.0,4.0,5.0,36.0,15.0,16.3,1.0,2.0,1.0,0.0,8.0,536.0,6995.0,293.0,190.0,30.0,7.0,12.0,23.0,8.0,177.0,13.0,2.0,9.0,630.0,15.0,110.0,340.0,212.0,42.0,624.0,16.0,21.0,380.0,1641.0,836.0,38.0,12.0,571.0,13.0,11.0,24.0,88.0,7.0,8.0
Douglas Luiz,1,7,7,23,13,12,11.7,0.0,3.0,3.0,0.0,9.0,491.0,7610.0,185.0,172.0,117.0,11.0,25.0,26.0,10.0,203.0,23.0,5.0,13.0,631.0,37.0,157.0,341.0,167.0,2.0,575.0,8.0,18.0,354.0,1910.0,908.0,39.0,8.0,382.0,20.0,20.0,16.0,124.0,17.0,16.0,34.0,32.0,31.1,0.0,3.0,10.0,1.0,26.0,1431.0,25159.0,472.0,596.0,302.0,14.0,93.0,63.0,18.0,617.0,60.0,18.0,49.0,1701.0,109.0,493.0,994.0,330.0,22.0,1635.0,24.0,33.0,1022.0,6002.0,3334.0,111.0,19.0,1101.0,69.0,55.0,43.0,375.0,40.0,43.0
Dwight Gayle,13,20,3,31,4,1,1.1,0.0,0.0,0.0,0.0,3.0,4.0,13.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,7.0,0.0,0.0,6.0,2.0,1.0,7.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,1.0,1.0,0.0,20.0,4.0,6.2,1.0,1.0,0.0,0.0,16.0,114.0,1216.0,69.0,30.0,9.0,2.0,7.0,6.0,1.0,90.0,3.0,2.0,0.0,159.0,3.0,16.0,66.0,80.0,26.0,150.0,1.0,3.0,83.0,295.0,148.0,6.0,3.0,231.0,6.0,8.0,4.0,28.0,7.0,16.0
Dwight McNeil,4,20,7,22,17,17,16.6,0.0,1.0,2.0,0.0,21.0,504.0,7034.0,163.0,165.0,134.0,58.0,9.0,34.0,9.0,306.0,42.0,9.0,8.0,696.0,29.0,133.0,330.0,298.0,17.0,663.0,28.0,53.0,523.0,3442.0,1529.0,83.0,25.0,506.0,14.0,25.0,19.0,128.0,9.0,9.0,40.0,38.0,37.9,2.0,5.0,2.0,0.0,29.0,1336.0,18456.0,452.0,429.0,369.0,136.0,34.0,43.0,11.0,585.0,58.0,6.0,27.0,1696.0,49.0,281.0,895.0,706.0,51.0,1542.0,66.0,114.0,1222.0,8017.0,3476.0,172.0,62.0,1307.0,16.0,51.0,25.0,272.0,22.0,30.0
Eberechi Eze,6,20,7,23,2,0,0.4,0.0,0.0,0.0,0.0,0.0,29.0,333.0,12.0,10.0,6.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,32.0,0.0,3.0,15.0,15.0,0.0,29.0,0.0,0.0,19.0,83.0,46.0,3.0,1.0,33.0,1.0,0.0,0.0,1.0,0.0,0.0,36.0,31.0,30.4,4.0,6.0,3.0,0.0,38.0,1158.0,14737.0,564.0,360.0,174.0,34.0,17.0,38.0,14.0,319.0,32.0,3.0,6.0,1482.0,27.0,246.0,783.0,610.0,52.0,1371.0,69.0,108.0,1181.0,7617.0,3974.0,188.0,54.0,1278.0,22.0,87.0,22.0,203.0,12.0,32.0
Eddie Nketiah,0,20,5,22,6,3,3.4,5.0,0.0,0.0,0.0,15.0,23.0,354.0,9.0,13.0,1.0,4.0,1.0,3.0,0.0,7.0,1.0,0.0,0.0,36.0,0.0,6.0,18.0,14.0,5.0,36.0,0.0,0.0,28.0,177.0,117.0,5.0,1.0,33.0,6.0,5.0,3.0,3.0,0.0,1.0,29.0,14.0,13.6,6.0,1.0,2.0,0.0,41.0,216.0,2536.0,122.0,64.0,9.0,6.0,3.0,11.0,0.0,200.0,13.0,3.0,4.0,342.0,5.0,30.0,148.0,185.0,67.0,328.0,14.0,25.0,239.0,1122.0,465.0,29.0,14.0,441.0,24.0,25.0,8.0,30.0,8.0,29.0
Ederson,11,7,6,28,22,22,22.0,0.0,0.0,2.0,0.0,0.0,631.0,14664.0,111.0,306.0,211.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,660.0,558.0,653.0,7.0,0.0,0.0,544.0,0.0,0.0,395.0,1570.0,993.0,0.0,0.0,391.0,1.0,6.0,0.0,80.0,0.0,0.0,48.0,48.0,48.0,0.0,1.0,3.0,0.0,0.0,1419.0,31786.0,187.0,669.0,555.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,3.0,1493.0,1294.0,1486.0,8.0,0.0,0.0,1215.0,0.0,0.0,894.0,4044.0,2380.0,1.0,0.0,876.0,1.0,6.0,0.0,186.0,0.0,0.0
Edinson Cavani,12,56,3,34,8,2,3.1,1.0,0.0,1.0,0.0,8.0,88.0,1069.0,46.0,25.0,11.0,0.0,1.0,3.0,2.0,42.0,5.0,0.0,3.0,124.0,5.0,21.0,42.0,66.0,16.0,124.0,0.0,0.0,65.0,157.0,29.0,3.0,4.0,142.0,5.0,1.0,2.0,9.0,2.0,6.0,39.0,21.0,24.4,17.0,5.0,6.0,0.0,61.0,488.0,6367.0,243.0,153.0,51.0,11.0,15.0,25.0,5.0,341.0,10.0,1.0,12.0,687.0,14.0,67.0,288.0,347.0,115.0,671.0,13.0,23.0,369.0,1278.0,402.0,22.0,14.0,918.0,34.0,25.0,19.0,96.0,13.0,27.0
Edouard Mendy,5,52,6,29,23,23,23.3,0.0,0.0,2.0,0.0,0.0,591.0,11732.0,134.0,235.0,208.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,631.0,562.0,627.0,5.0,1.0,0.0,495.0,0.0,0.0,312.0,1234.0,509.0,0.0,0.0,328.0,1.0,1.0,0.0,86.0,0.0,0.0,44.0,44.0,43.5,0.0,0.0,2.0,0.0,0.0,1378.0,29018.0,266.0,569.0,530.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1446.0,1267.0,1441.0,7.0,0.0,0.0,1130.0,1.0,1.0,789.0,3263.0,1218.0,0.0,1.0,795.0,1.0,5.0,0.0,187.0,0.0,1.0
Emerson,16,7,0,22,16,12,13.0,0.0,0.0,3.0,0.0,3.0,578.0,7120.0,280.0,211.0,55.0,28.0,27.0,50.0,16.0,245.0,27.0,2.0,28.0,723.0,42.0,259.0,297.0,201.0,13.0,611.0,8.0,9.0,373.0,1774.0,1037.0,49.0,12.0,418.0,18.0,23.0,20.0,93.0,11.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emi Buendía,1,2,5,25,16,12,10.9,1.0,2.0,1.0,0.0,15.0,378.0,4770.0,190.0,108.0,58.0,16.0,5.0,24.0,5.0,207.0,10.0,1.0,3.0,499.0,16.0,77.0,229.0,229.0,26.0,465.0,12.0,20.0,335.0,1472.0,806.0,45.0,31.0,416.0,8.0,25.0,18.0,68.0,10.0,17.0,41.0,39.0,37.4,15.0,15.0,8.0,2.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,79.0,65.0,0.0,0.0,0.0
Emil Krafth,13,50,0,27,7,6,6.0,0.0,1.0,1.0,0.0,2.0,169.0,2332.0,69.0,65.0,30.0,6.0,6.0,4.0,4.0,58.0,8.0,5.0,16.0,209.0,27.0,125.0,66.0,25.0,3.0,187.0,0.0,0.0,114.0,476.0,249.0,7.0,0.0,126.0,6.0,4.0,2.0,22.0,1.0,7.0,20.0,18.0,17.8,1.0,0.0,4.0,0.0,9.0,557.0,7198.0,221.0,218.0,90.0,15.0,28.0,23.0,10.0,169.0,33.0,10.0,56.0,704.0,87.0,349.0,253.0,136.0,9.0,594.0,2.0,6.0,332.0,1603.0,821.0,37.0,4.0,359.0,18.0,11.0,18.0,104.0,22.0,22.0
Emile Smith-Rowe,0,20,9,21,19,15,15.1,8.0,2.0,0.0,0.0,27.0,473.0,6254.0,245.0,161.0,46.0,17.0,11.0,13.0,1.0,148.0,11.0,0.0,7.0,613.0,13.0,89.0,316.0,273.0,37.0,593.0,22.0,34.0,449.0,2685.0,1791.0,88.0,23.0,537.0,3.0,19.0,11.0,84.0,5.0,12.0,33.0,26.0,24.5,4.0,7.0,1.0,0.0,24.0,986.0,13149.0,525.0,358.0,56.0,31.0,23.0,21.0,8.0,353.0,23.0,1.0,18.0,1200.0,22.0,204.0,549.0,531.0,82.0,1184.0,19.0,49.0,897.0,4832.0,2745.0,125.0,26.0,1139.0,14.0,27.0,17.0,140.0,9.0,16.0
Emiliano Martínez,1,2,6,29,16,16,16.0,0.0,0.0,1.0,0.0,0.0,517.0,11174.0,57.0,162.0,297.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,541.0,461.0,532.0,10.0,0.0,0.0,360.0,0.0,0.0,241.0,1110.0,648.0,0.0,0.0,200.0,0.0,5.0,0.0,81.0,0.0,0.0,39.0,39.0,39.3,0.0,0.0,1.0,0.0,0.0,1295.0,28998.0,105.0,388.0,798.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1380.0,1192.0,1368.0,15.0,0.0,0.0,998.0,0.0,0.0,655.0,3044.0,1829.0,0.0,0.0,592.0,1.0,7.0,0.0,178.0,0.0,0.0
Emmanuel Dennis,17,40,5,24,17,14,13.6,7.0,5.0,6.0,0.0,33.0,277.0,2516.0,151.0,73.0,23.0,13.0,10.0,25.0,7.0,275.0,17.0,2.0,3.0,489.0,8.0,61.0,196.0,266.0,68.0,474.0,23.0,58.0,321.0,1611.0,1048.0,57.0,25.0,533.0,44.0,24.0,13.0,72.0,34.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enock Mwepu,3,60,7,23,10,6,6.2,2.0,1.0,1.0,0.0,13.0,176.0,1867.0,92.0,53.0,21.0,5.0,11.0,13.0,4.0,108.0,10.0,1.0,6.0,241.0,13.0,53.0,121.0,86.0,17.0,240.0,3.0,7.0,143.0,702.0,392.0,15.0,6.0,205.0,11.0,8.0,7.0,41.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric Bailly,12,10,0,27,6,5,4.7,0.0,0.0,1.0,0.0,3.0,158.0,2904.0,39.0,85.0,32.0,0.0,11.0,10.0,3.0,34.0,10.0,5.0,16.0,204.0,42.0,119.0,94.0,1.0,0.0,198.0,1.0,3.0,122.0,630.0,297.0,10.0,2.0,123.0,5.0,3.0,4.0,31.0,5.0,3.0,21.0,19.0,18.9,0.0,1.0,4.0,0.0,5.0,804.0,16092.0,198.0,453.0,148.0,0.0,26.0,17.0,4.0,101.0,29.0,18.0,78.0,968.0,162.0,560.0,451.0,21.0,5.0,951.0,9.0,11.0,620.0,4004.0,2120.0,44.0,1.0,652.0,24.0,11.0,14.0,125.0,40.0,20.0
