Name,First Name,Last Name,Team,Number of Inj,inj22,Freq Inj,inj days 20-21,inj days 19-20,inj days 18-19,Sus days 22,sus days 20-21,sus days 19-20,sus days 18-19,Career Suspension days,Career INJ days
Ricardo Pereira,Ricardo Domingos,Ricardo Domingos,Leicester City,10,43.0,Calf/Shin Injury,20.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,494.0
T. Castagne,Timothy,Timothy,Leicester City,4,1.0,Thigh Muscle Strain,72.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,143.0
V. Daley-Campbell,Vontae,Vontae,Leicester City,1,16.0,Illness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
W. Fofana,Wesley,Wesley,Leicester City,6,150.0,Knee Injury,45.0,75.0,0.0,0.0,0.0,12.0,0.0,12.0,270.0
W. Ndidi,Onyinye Wilfred,Onyinye Wilfred,Leicester City,9,33.0,Hamstring,86.0,47.0,2.0,0.0,0.0,0.0,0.0,17.0,190.0
Y. Tielemans,Youri,Youri,Leicester City,3,21.0,Back Injury,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,65.0
Ç. Söyüncü,Çağlar,Çağlar,Leicester City,4,21.0,Groin/Pelvis Injury,95.0,0.0,17.0,0.0,0.0,14.0,0.0,14.0,133.0
A. Oxlade-Chamberlain,Alex,Alex,Liverpool,20,0.0,Hamstring,121.0,21.0,5.0,0.0,0.0,0.0,0.0,0.0,1001.0
A. Robertson,Andrew,Andrew,Liverpool,14,21.0,Ankle/Foot Injury,4.0,11.0,8.0,17.0,0.0,0.0,0.0,23.0,135.0
Adrián,Adrián,Adrián,Liverpool,3,39.0,Ankle/Foot Injury,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,70.0
Alisson,Alisson Ramsés,Alisson Ramsés,Liverpool,5,0.0,Calf Muscle Strain,39.0,146.0,0.0,0.0,0.0,4.0,0.0,4.0,185.0
C. Jones,Curtis,Curtis,Liverpool,4,82.0,Head Injury,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0
C. Kelleher,Caoimhin,Caoimhin,Liverpool,1,0.0,Knock,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0
D. Origi,Divock,Divock,Liverpool,14,27.0,Ankle/Foot Injury,61.0,12.0,24.0,0.0,0.0,0.0,0.0,0.0,210.0
Diogo Jota,Diogo José,Diogo José,Liverpool,10,5.0,Knock,85.0,45.0,55.0,0.0,0.0,0.0,0.0,0.0,190.0
Fabinho,Fábio Henrique,Fábio Henrique,Liverpool,11,30.0,Knock,53.0,50.0,22.0,0.0,0.0,0.0,0.0,64.0,181.0
H. Elliott,Harvey,Harvey,Liverpool,2,125.0,Ankle/Foot Injury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0
I. Konaté,Ibrahima,Ibrahima,Liverpool,6,0.0,Hip/Thigh Injury,49.0,198.0,0.0,0.0,0.0,0.0,8.0,8.0,330.0
J. Gomez,Joe,Joe,Liverpool,10,40.0,Ankle/Foot Injury,258.0,1.0,129.0,0.0,0.0,0.0,0.0,0.0,879.0
J. Henderson,Jordan,Jordan,Liverpool,28,20.0,Ankle/Foot Injury,102.0,20.0,42.0,0.0,0.0,0.0,8.0,30.0,607.0
J. Matip,Joël Andre,Joël Andre,Liverpool,17,0.0,Knock,250.0,143.0,30.0,0.0,0.0,0.0,0.0,0.0,583.0
J. Milner,James Philip,James Philip,Liverpool,31,59.0,Hamstring,57.0,77.0,47.0,0.0,0.0,0.0,0.0,24.0,370.0
K. Tsimikas,Konstantinos,Konstantinos,Liverpool,3,0.0,Hip/Thigh Injury,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0
L. Karius,Loris,Loris,Liverpool,3,0.0,Broken Hand,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0
Mohamed Salah,Mohamed,Mohamed,Liverpool,9,0.0,Ankle/Foot Injury,11.0,27.0,12.0,0.0,0.0,0.0,0.0,0.0,87.0
N. Keïta,Naby Laye,Naby Laye,Liverpool,17,52.0,Groin/Pelvis Injury,120.0,72.0,74.0,0.0,0.0,0.0,0.0,0.0,318.0
N. Phillips,Nathaniel,Nathaniel,Liverpool,3,37.0,Back Injury,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0
N. Williams,Neco,Neco,Liverpool,2,48.0,Ankle/Foot Injury,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
Roberto Firmino,Roberto Firmino,Roberto Firmino,Liverpool,12,68.0,Knock,27.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,184.0
S. Mané,Sadio,Sadio,Liverpool,18,0.0,Knock,20.0,24.0,22.0,0.0,0.0,0.0,0.0,27.0,274.0
T. Alexander-Arnold,Trent,Trent,Liverpool,10,18.0,Knock,75.0,4.0,55.0,0.0,0.0,0.0,0.0,0.0,156.0
T. Minamino,Takumi,Takumi,Liverpool,2,11.0,Thigh Muscle Strain,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
Thiago Alcântara,Thiago,Thiago,Liverpool,13,67.0,Calf/Shin Injury,97.0,38.0,35.0,0.0,0.0,3.0,0.0,3.0,373.0
V. van Dijk,Virgil,Virgil,Liverpool,13,13.0,Ankle/Foot Injury,283.0,3.0,28.0,0.0,0.0,0.0,0.0,15.0,567.0
Aymeric Laporte,Aymeric,Aymeric,Manchester City,19,17.0,Knock,41.0,275.0,16.0,11.0,0.0,0.0,0.0,90.0,564.0
B. Mendy,Benjamin,Benjamin,Manchester City,16,0.0,Hip/Thigh Injury,39.0,43.0,176.0,270.0,0.0,0.0,0.0,335.0,760.0
Bernardo Silva,Bernardo,Bernardo,Manchester City,6,3.0,Knock,19.0,0.0,17.0,0.0,0.0,11.0,0.0,23.0,62.0
C. Palmer,Cole,Cole,Manchester City,1,0.0,Virus,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
Ederson Moraes,Ederson,Ederson,Manchester City,6,1.0,Knock,16.0,28.0,0.0,0.0,0.0,2.0,0.0,2.0,47.0
Fernandinho,Fernando Luiz,Fernando Luiz,Manchester City,15,0.0,Knock,41.0,9.0,94.0,0.0,0.0,10.0,0.0,75.0,204.0
Ferran Torres,Ferran,Ferran,Manchester City,3,80.0,Hamstring,11.0,4.0,0.0,0.0,0.0,0.0,8.0,8.0,95.0
Gabriel Jesus,Gabriel Fernando,Gabriel Fernando,Manchester City,12,6.0,Knock,53.0,32.0,23.0,0.0,0.0,0.0,0.0,0.0,250.0
J. Grealish,Jack,Jack,Manchester City,8,17.0,Ankle/Foot Injury,81.0,28.0,0.0,0.0,0.0,0.0,0.0,27.0,199.0
J. Stones,John,John,Manchester City,22,26.0,Knock,10.0,97.0,38.0,0.0,0.0,0.0,0.0,0.0,407.0
João Cancelo,João Pedro,João Pedro,Manchester City,4,0.0,Foot Injury,16.0,0.0,0.0,3.0,5.0,0.0,0.0,56.0,109.0
K. De Bruyne,Kevin,Kevin,Manchester City,19,48.0,Hamstring,63.0,23.0,159.0,0.0,0.0,0.0,0.0,0.0,377.0
K. Walker,Kyle,Kyle,Manchester City,13,15.0,Knock,15.0,18.0,6.0,0.0,0.0,0.0,0.0,12.0,355.0
N. Aké,Nathan,Nathan,Manchester City,11,2.0,Hamstring,105.0,64.0,7.0,0.0,0.0,0.0,0.0,28.0,218.0
O. Zinchenko,Oleksandr,Oleksandr,Manchester City,10,32.0,Knock,43.0,58.0,26.0,0.0,0.0,7.0,0.0,7.0,192.0
P. Foden,Philip,Philip,Manchester City,7,17.0,Ankle/Foot Injury,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
R. Mahrez,Riyad,Riyad,Manchester City,1,0.0,Knock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
R. Sterling,Raheem,Raheem,Manchester City,12,1.0,Knock,10.0,22.0,12.0,0.0,0.0,0.0,0.0,14.0,233.0
Rodri,Rodrigo,Rodrigo,Manchester City,5,19.0,Knock,1.0,18.0,0.0,0.0,0.0,0.0,14.0,21.0,38.0
Rúben Dias,Rúben,Rúben,Manchester City,1,0.0,Knock,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
S. Carson,Scott,Scott,Manchester City,1,0.0,Virus,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0
Z. Steffen,Zack,Zack,Manchester City,3,14.0,Knee Injury,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0
İ. Gündoğan,İlkay,İlkay,Manchester City,15,30.0,Knock,37.0,5.0,46.0,0.0,0.0,4.0,0.0,4.0,378.0
A. Diallo,Amad Diallo,Amad Diallo,Manchester United,1,47.0,Thigh Muscle Strain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0
A. Martial,Anthony,Anthony,Manchester United,24,13.0,Knock,10.0,60.0,69.0,0.0,28.0,0.0,0.0,28.0,399.0
A. Wan-Bissaka,Aaron,Aaron,Manchester United,9,5.0,Knock,10.0,39.0,43.0,0.0,0.0,0.0,11.0,11.0,97.0
Alex Telles,Alex Nicolao,Alex Nicolao,Manchester United,2,0.0,Ankle/Foot Injury,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
Bruno Fernandes,Bruno Miguel,Bruno Miguel,Manchester United,1,1.0,Knock,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,1.0
Cristiano Ronaldo,Cristiano Ronaldo,Cristiano Ronaldo,Manchester United,12,0.0,Knee Injury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,142.0
D. Henderson,Dean,Dean,Manchester United,1,0.0,Hip/Thigh Injury,15.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,15.0
D. van de Beek,Donny,Donny,Manchester United,4,0.0,Knock,45.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0
David de Gea,David,David,Manchester United,7,0.0,Knee Injury,34.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0
Diogo Dalot,José Diogo,José Diogo,Manchester United,6,0.0,Knock,0.0,127.0,50.0,0.0,0.0,0.0,0.0,0.0,258.0
E. Bailly,Eric Bertrand,Eric Bertrand,Manchester United,24,28.0,Knock,81.0,5.0,132.0,0.0,0.0,0.0,0.0,21.0,620.0
E. Cavani,Edinson Roberto,Edinson Roberto,Manchester United,23,73.0,Knock,53.0,83.0,75.0,0.0,10.0,0.0,0.0,23.0,375.0
Fred,Frederico,Frederico,Manchester United,2,4.0,Ankle/Foot Injury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
H. Maguire,Harry,Harry,Manchester United,9,19.0,Ankle/Foot Injury,25.0,8.0,42.0,8.0,0.0,0.0,14.0,36.0,117.0
J. Lingard,Jesse,Jesse,Manchester United,17,14.0,Hamstring,60.0,35.0,74.0,0.0,0.0,0.0,0.0,15.0,384.0
J. Sancho,Jadon,Jadon,Manchester United,8,6.0,Knock,58.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,69.0
L. Grant,Lee,Lee,Manchester United,2,0.0,Knock,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0
L. Shaw,Luke,Luke,Manchester United,29,36.0,Ankle/Foot Injury,32.0,89.0,56.0,0.0,0.0,0.0,31.0,34.0,915.0
M. Greenwood,Mason,Mason,Manchester United,10,7.0,Knock,36.0,18.0,46.0,0.0,0.0,0.0,0.0,0.0,107.0
M. Rashford,Marcus,Marcus,Manchester United,16,1.0,Ankle/Foot Injury,31.0,147.0,21.0,0.0,0.0,0.0,24.0,24.0,263.0
Mata,Juan Manuel,Juan Manuel,Manchester United,3,0.0,Groin/Pelvis Injury,43.0,0.0,19.0,0.0,0.0,0.0,0.0,7.0,91.0
N. Matić,Nemanja,Nemanja,Manchester United,12,12.0,Knock,0.0,52.0,52.0,0.0,0.0,2.0,7.0,28.0,196.0
P. Jones,Phil,Phil,Manchester United,34,0.0,Knock,0.0,23.0,67.0,0.0,0.0,0.0,0.0,3.0,1440.0
P. Pogba,Paul,Paul,Manchester United,20,68.0,Knock,72.0,276.0,27.0,27.0,0.0,0.0,0.0,48.0,572.0
R. Varane,Raphaël,Raphaël,Manchester United,20,67.0,Hamstring,32.0,6.0,11.0,0.0,0.0,0.0,7.0,15.0,461.0
S. McTominay,Scott,Scott,Manchester United,13,33.0,Knock,22.0,80.0,57.0,0.0,0.0,0.0,0.0,0.0,196.0
T. Heaton,Tom,Tom,Manchester United,7,0.0,Calf Muscle Strain,32.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,647.0
V. Lindelöf,Victor Jörgen,Victor Jörgen,Manchester United,11,12.0,Back Injury,19.0,14.0,20.0,0.0,0.0,0.0,0.0,0.0,65.0
A. Saint-Maximin,Allan,Allan,Newcastle United,24,6.0,Thigh Muscle Strain,112.0,89.0,33.0,0.0,0.0,0.0,0.0,7.0,367.0
C. Clark,Ciaran,Ciaran,Newcastle United,20,7.0,Ankle/Foot Injury,43.0,32.0,91.0,3.0,0.0,0.0,0.0,23.0,619.0
C. Wilson,Callum,Callum,Newcastle United,14,54.0,Hamstring,110.0,12.0,70.0,0.0,0.0,10.0,0.0,17.0,719.0
D. Gayle,Dwight,Dwight,Newcastle United,15,8.0,Hamstring,97.0,156.0,0.0,0.0,0.0,0.0,0.0,91.0,518.0
E. Anderson,Elliott,Elliott,Newcastle United,2,6.0,Groin/Pelvis Injury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0
E. Krafth,Emil Henry Kristoffer,Emil Henry Kristoffer,Newcastle United,6,3.0,Ankle/Foot Injury,6.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0
F. Fernández,Federico,Federico,Newcastle United,13,41.0,Calf/Shin Injury,88.0,0.0,35.0,0.0,0.0,0.0,0.0,13.0,267.0
F. Schär,Fabian Lukas,Fabian Lukas,Newcastle United,16,8.0,Knock,111.0,57.0,23.0,0.0,17.0,0.0,4.0,49.0,280.0
F. Woodman,Freddie,Freddie,Newcastle United,1,54.0,Knock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0
I. Hayden,Isaac,Isaac,Newcastle United,10,19.0,Knee Injury,20.0,19.0,20.0,14.0,8.0,28.0,16.0,73.0,250.0
J. Hendrick,Jeff Patrick,Jeff Patrick,Newcastle United,2,0.0,Thigh Muscle Strain,6.0,0.0,0.0,0.0,9.0,6.0,0.0,40.0,35.0
J. Lascelles,Jamaal,Jamaal,Newcastle United,20,32.0,Ankle/Foot Injury,149.0,89.0,77.0,4.0,0.0,0.0,0.0,18.0,413.0
J. Lewis,Jamal,Jamal,Newcastle United,7,54.0,Knee Injury,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0
J. Shelvey,Jonjo,Jonjo,Newcastle United,24,64.0,Hamstring,51.0,75.0,129.0,6.0,0.0,0.0,0.0,152.0,490.0
J. Willock,Joseph,Joseph,Newcastle United,4,20.0,Calf/Shin Injury,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
Javi Manquillo,Javier,Javier,Newcastle United,10,3.0,Knock,54.0,59.0,25.0,6.0,0.0,0.0,0.0,6.0,225.0
Joelinton,Joelinton Cassio,Joelinton Cassio,Newcastle United,9,0.0,Ankle/Foot Injury,14.0,23.0,55.0,0.0,0.0,0.0,0.0,0.0,92.0
K. Darlow,Karl,Karl,Newcastle United,10,7.0,Ankle/Foot Injury,55.0,11.0,106.0,0.0,0.0,0.0,0.0,0.0,359.0
M. Almirón,Miguel Ángel,Miguel Ángel,Newcastle United,8,0.0,Hamstring,24.0,30.0,40.0,0.0,0.0,0.0,0.0,0.0,94.0
M. Dúbravka,Martin,Martin,Newcastle United,5,0.0,Ankle/Foot Injury,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0
M. Gillespie,Mark,Mark,Newcastle United,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
M. Ritchie,Matt,Matt,Newcastle United,11,7.0,Knock,65.0,135.0,18.0,4.0,0.0,0.0,5.0,16.0,254.0
P. Dummett,Paul,Paul,Newcastle United,19,0.0,Hamstring,111.0,177.0,96.0,0.0,0.0,0.0,0.0,0.0,904.0
R. Fraser,Ryan,Ryan,Newcastle United,21,17.0,Knock,123.0,28.0,28.0,0.0,6.0,0.0,0.0,6.0,240.0
S. Longstaff,Sean,Sean,Newcastle United,4,0.0,Ankle/Foot Injury,0.0,161.0,89.0,0.0,0.0,29.0,0.0,29.0,250.0
A. Idah,Adam Uche,Adam Uche,Norwich City,1,0.0,Back Injury,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
A. Omobamidele,Andrew Abiola,Andrew Abiola,Norwich City,2,28.0,Back Injury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
B. Gibson,Ben,Ben,Norwich City,3,0.0,Groin/Pelvis Injury,0.0,188.0,89.0,8.0,0.0,0.0,0.0,34.0,277.0
B. Gilmour,Billy,Billy,Norwich City,3,5.0,Ankle/Foot Injury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0
B. Mumba,Bali,Bali,Norwich City,1,16.0,Knee Injury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
B. Williams,Brandon,Brandon,Norwich City,2,0.0,Head Injury,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
C. Tzolis,Christos,Christos,Norwich City,2,29.0,Calf/Shin Injury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
C. Zimmermann,Christoph,Christoph,Norwich City,5,127.0,Ankle/Foot Injury,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0
D. Giannoulis,Dimitris,Dimitris,Norwich City,1,10.0,Back Injury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
G. Hanley,Grant,Grant,Norwich City,10,39.0,Groin/Pelvis Injury,0.0,106.0,0.0,0.0,0.0,0.0,0.0,55.0,395.0
J. Sargent,Joshua Thomas,Joshua Thomas,Norwich City,4,14.0,Back Injury,0.0,30.0,0.0,0.0,15.0,0.0,0.0,15.0,44.0
K. Dowell,Kieran,Kieran,Norwich City,1,7.0,Illness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
K. McLean,Kenny,Kenny,Norwich City,1,0.0,Back Injury,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
L. Rupp,Lukas,Lukas,Norwich City,3,22.0,Ankle/Foot Injury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507.0
M. Aarons,Maximillian James,Maximillian James,Norwich City,1,0.0,Ankle/Foot Injury,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
M. Normann,Mathias,Mathias,Norwich City,2,41.0,Groin/Pelvis Injury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0
M. Rashica,Milot,Milot,Norwich City,12,37.0,Ankle/Foot Injury,93.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0
O. Kabak,Ozan Muhammed,Ozan Muhammed,Norwich City,9,18.0,Knock,30.0,92.0,0.0,0.0,38.0,0.0,0.0,38.0,198.0
P. Lees Melou,Pierre,Pierre,Norwich City,6,5.0,Ankle Ligaments,35.0,0.0,61.0,0.0,6.0,5.0,4.0,40.0,146.0
P. Płacheta,Przemysław,Przemysław,Norwich City,1,63.0,Virus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0
S. Byram,Sam,Sam,Norwich City,9,49.0,Knock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,776.0
T. Cantwell,Todd,Todd,Norwich City,6,37.0,Ankle/Foot Injury,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0
T. Krul,Tim,Tim,Norwich City,11,9.0,Ankle/Foot Injury,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,539.0
T. Pukki,Teemu Eino Antero,Teemu Eino Antero,Norwich City,2,0.0,Ankle/Foot Injury,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
A. Armstrong,Adam,Adam,Southampton,1,0.0,Calf Muscle Strain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
A. Broja,Armando,Armando,Southampton,2,7.0,Ankle Fracture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
A. McCarthy,Alex,Alex,Southampton,8,25.0,Hamstring,16.0,9.0,52.0,0.0,0.0,0.0,0.0,0.0,527.0
C. Adams,Che,Che,Southampton,4,24.0,Groin/Pelvis Injury,28.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,52.0
F. Forster,Fraser,Fraser,Southampton,3,21.0,Abdominal Strain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0
I. Diallo,Ibrahima,Ibrahima,Southampton,4,5.0,Knock,35.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0
J. Bednarek,Jan Kacper,Jan Kacper,Southampton,5,7.0,Calf/Shin Injury,7.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0,24.0
J. Stephens,Jack,Jack,Southampton,3,83.0,Knee Injury,0.0,0.0,12.0,0.0,0.0,0.0,0.0,30.0,95.0
J. Ward-Prowse,James,James,Southampton,7,1.0,Knee Injury,20.0,8.0,0.0,25.0,0.0,0.0,0.0,32.0,130.0
K. Walker-Peters,Kyle,Kyle,Southampton,6,0.0,Hamstring,38.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0
Lyanco,Lyanco Evangelista,Lyanco Evangelista,Southampton,1,8.0,Virus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
M. Djenepo,Moussa,Moussa,Southampton,10,26.0,Knock,52.0,99.0,0.0,0.0,0.0,113.0,15.0,128.0,177.0
M. Elyounoussi,Mohamed Amine,Mohamed Amine,Southampton,5,13.0,Hamstring,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,42.0
M. Salisu,Mohamed,Mohamed,Southampton,4,0.0,Hamstring,51.0,20.0,0.0,12.0,0.0,0.0,0.0,12.0,225.0
N. Redmond,Nathan,Nathan,Southampton,11,0.0,Ankle/Foot Injury,80.0,128.0,4.0,0.0,0.0,0.0,0.0,3.0,272.0
N. Tella,Nathan,Nathan,Southampton,3,1.0,Knock,30.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0
Oriol Romeu,Oriol,Oriol,Southampton,7,0.0,Calf/Shin Injury,121.0,0.0,0.0,7.0,7.0,0.0,0.0,40.0,396.0
R. Perraud,Romain,Romain,Southampton,1,0.0,Groin/Pelvis Injury,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
S. Armstrong,Stuart,Stuart,Southampton,15,84.0,Calf/Shin Injury,50.0,58.0,37.0,0.0,0.0,0.0,0.0,0.0,229.0
S. Long,Shane Patrick,Shane Patrick,Southampton,28,16.0,Knee Injury,0.0,17.0,93.0,0.0,0.0,0.0,0.0,0.0,457.0
T. Walcott,Theo,Theo,Southampton,28,22.0,Calf Muscle Strain,77.0,95.0,17.0,0.0,0.0,0.0,0.0,0.0,866.0
V. Livramento,Valentino,Valentino,Southampton,1,0.0,Knock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W. Caballero,Wilfredo Daniel,Wilfredo Daniel,Southampton,1,0.0,Sprained Ankle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
W. Smallbone,William Anthony Patrick,William Anthony Patrick,Southampton,3,0.0,Knee Injury,46.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0
Y. Valery,Yan,Yan,Southampton,4,0.0,Knock,13.0,101.0,8.0,0.0,0.0,0.0,0.0,0.0,122.0
B. Davies,Benjamin Thomas,Benjamin Thomas,Tottenham Hotspur,10,0.0,Ankle/Foot Injury,70.0,91.0,26.0,0.0,0.0,0.0,0.0,5.0,303.0
Bryan Gil,Bryan,Bryan,Tottenham Hotspur,6,45.0,Knock,31.0,14.0,0.0,0.0,7.0,0.0,0.0,7.0,90.0
C. Romero,Cristian Gabriel,Cristian Gabriel,Tottenham Hotspur,4,65.0,Knee Injury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0
D. Alli,Bamidele,Bamidele,Tottenham Hotspur,15,0.0,Hamstring,18.0,49.0,96.0,0.0,0.0,2.0,0.0,29.0,207.0
D. Scarlett,Dane Pharrell,Dane Pharrell,Tottenham Hotspur,2,42.0,Ankle/Foot Injury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0
D. Sánchez,Davinson,Davinson,Tottenham Hotspur,4,11.0,Knock,0.0,5.0,71.0,0.0,0.0,0.0,0.0,14.0,87.0
E. Dier,Eric,Eric,Tottenham Hotspur,13,0.0,Thigh Muscle Strain,12.0,18.0,111.0,0.0,0.0,12.0,0.0,25.0,167.0
Emerson,Emerson Aparecido,Emerson Aparecido,Tottenham Hotspur,2,15.0,Knock,14.0,0.0,0.0,0.0,6.0,10.0,0.0,16.0,29.0
G. Lo Celso,Giovani,Giovani,Tottenham Hotspur,9,45.0,Hamstring,123.0,56.0,0.0,0.0,0.0,0.0,10.0,10.0,224.0
H. Kane,Harry,Harry,Tottenham Hotspur,23,13.0,Ankle/Foot Injury,21.0,150.0,90.0,0.0,0.0,0.0,0.0,0.0,554.0
H. Lloris,Hugo,Hugo,Tottenham Hotspur,16,0.0,Knock,11.0,119.0,37.0,0.0,0.0,0.0,0.0,0.0,275.0
H. Winks,Harry,Harry,Tottenham Hotspur,10,0.0,Ankle/Foot Injury,6.0,8.0,83.0,0.0,0.0,2.0,0.0,2.0,430.0
J. Rodon,Joe,Joe,Tottenham Hotspur,1,32.0,Knock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
J. Tanganga,Japhet,Japhet,Tottenham Hotspur,5,0.0,Ankle Ligaments,86.0,26.0,0.0,3.0,0.0,0.0,0.0,3.0,198.0
Lucas Moura,Lucas,Lucas,Tottenham Hotspur,14,20.0,Knock,8.0,2.0,24.0,0.0,0.0,0.0,0.0,6.0,186.0
M. Doherty,Matthew James,Matthew James,Tottenham Hotspur,8,7.0,Knock,42.0,21.0,21.0,0.0,0.0,0.0,0.0,20.0,91.0
O. Skipp,Oliver,Oliver,Tottenham Hotspur,2,14.0,Groin/Pelvis Injury,0.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,14.0
P. Højbjerg,Pierre-Emile,Pierre-Emile,Tottenham Hotspur,5,12.0,Ankle/Foot Injury,0.0,12.0,16.0,0.0,0.0,0.0,8.0,8.0,45.0
R. Sessegnon,Kouassi Ryan,Kouassi Ryan,Tottenham Hotspur,6,72.0,Knock,42.0,86.0,11.0,0.0,0.0,0.0,0.0,0.0,211.0
Reguilón,Sergio,Sergio,Tottenham Hotspur,8,12.0,Knock,46.0,0.0,30.0,0.0,0.0,13.0,0.0,13.0,88.0
S. Bergwijn,Steven Charles,Steven Charles,Tottenham Hotspur,9,36.0,Ankle/Foot Injury,20.0,115.0,12.0,0.0,0.0,0.0,0.0,7.0,234.0
Son Heung-Min,Heung-Min,Heung-Min,Tottenham Hotspur,8,24.0,Broken Arm,22.0,43.0,1.0,0.0,0.0,11.0,0.0,116.0,186.0
T. Ndombèlé,Tanguy,Tanguy,Tottenham Hotspur,10,20.0,Knock,14.0,85.0,17.0,0.0,0.0,0.0,0.0,0.0,146.0
A. Masina,Adam,Adam,Watford,4,25.0,Knock,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
B. Foster,Ben,Ben,Watford,8,78.0,Ankle/Foot Injury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.0
