Name,First Name,Last Name,Team,Number of Inj,inj22,Freq Inj,inj days 20-21,inj days 19-20,inj days 18-19,Sus days 22,sus days 20-21,sus days 19-20,sus days 18-19,Career Suspension days,Career INJ days
M. Bettinelli,Marcus,Marcus,Chelsea,1,0.0,Knee Injury,0.0,0.0,119.0,0.0,0.0,0.0,0.0,8.0,119.0
M. Kovačić,Mateo,Mateo,Chelsea,17,50.0,Knock,36.0,116.0,33.0,0.0,3.0,4.0,0.0,13.0,320.0
M. Mount,Mason,Mason,Chelsea,3,7.0,Ankle/Foot Injury,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
M. Sarr,Malang,Malang,Chelsea,4,0.0,Back Injury,0.0,55.0,4.0,0.0,0.0,0.0,0.0,2.0,71.0
Marcos Alonso,Marcos,Marcos,Chelsea,8,16.0,Ankle/Foot Injury,0.0,28.0,27.0,0.0,0.0,0.0,0.0,15.0,272.0
N. Kanté,N'Golo,N'Golo,Chelsea,22,61.0,Hamstring,34.0,206.0,29.0,0.0,0.0,0.0,0.0,31.0,379.0
R. Barkley,Ross,Ross,Chelsea,17,0.0,Hamstring,58.0,56.0,8.0,0.0,0.0,0.0,0.0,0.0,582.0
R. James,Reece,Reece,Chelsea,9,27.0,Ankle/Foot Injury,28.0,72.0,0.0,14.0,0.0,0.0,0.0,14.0,127.0
R. Loftus-Cheek,Ruben,Ruben,Chelsea,19,32.0,Knock,24.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,673.0
R. Lukaku,Romelu,Romelu,Chelsea,20,53.0,Hamstring,0.0,0.0,59.0,0.0,0.0,0.0,0.0,2.0,235.0
Saúl,Saúl,Saúl,Chelsea,6,0.0,Hamstring,20.0,0.0,17.0,0.0,3.0,16.0,13.0,76.0,96.0
T. Chalobah,Trevoh,Trevoh,Chelsea,3,13.0,Knee Injury,40.0,0.0,0.0,0.0,2.0,14.0,0.0,16.0,53.0
T. Werner,Timo,Timo,Chelsea,8,46.0,Thigh Muscle Strain,6.0,5.0,22.0,0.0,0.0,0.0,0.0,0.0,79.0
Thiago Silva,Thiago Emiliano,Thiago Emiliano,Chelsea,24,5.0,Thigh Muscle Strain,64.0,39.0,54.0,0.0,11.0,0.0,2.0,30.0,449.0
É. Mendy,Édouard,Édouard,Chelsea,3,0.0,Hand Injury,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0
C. Benteke,Christian,Christian,Crystal Palace,17,0.0,Knee Injury,25.0,49.0,144.0,0.0,2.0,14.0,0.0,51.0,565.0
C. Gallagher,Conor,Conor,Crystal Palace,1,6.0,Knock,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,6.0
C. Kouyaté,Cheikhou,Cheikhou,Crystal Palace,18,0.0,Knock,3.0,15.0,36.0,0.0,0.0,0.0,0.0,5.0,310.0
E. Eze,Eberechi,Eberechi,Crystal Palace,4,4.0,Calf/Shin Injury,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0
Guaita,Vicente,Vicente,Crystal Palace,7,0.0,Calf Muscle Strain,0.0,20.0,16.0,0.0,0.0,0.0,0.0,14.0,136.0
J. Andersen,Joachim,Joachim,Crystal Palace,4,23.0,Ankle/Foot Injury,16.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,79.0
J. Ayew,Jordan,Jordan,Crystal Palace,3,0.0,Knock,10.0,0.0,10.0,0.0,0.0,0.0,0.0,208.0,27.0
J. Butland,Jack,Jack,Crystal Palace,5,0.0,Ankle Fracture,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391.0
J. Mateta,Jean-Philippe,Jean-Philippe,Crystal Palace,2,0.0,Knee Injury,0.0,0.0,1.0,0.0,0.0,70.0,0.0,70.0,137.0
J. McArthur,James,James,Crystal Palace,16,57.0,Knock,124.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,497.0
J. Riedewald,Jaïro,Jaïro,Crystal Palace,9,0.0,Knee Injury,16.0,6.0,24.0,0.0,0.0,0.0,0.0,6.0,154.0
J. Schlupp,Jeffrey,Jeffrey,Crystal Palace,16,21.0,Knock,100.0,115.0,0.0,0.0,0.0,0.0,0.0,3.0,611.0
J. Tomkins,James,James,Crystal Palace,31,0.0,Calf Muscle Strain,137.0,0.0,55.0,0.0,0.0,0.0,7.0,18.0,1172.0
J. Ward,Joel,Joel,Crystal Palace,13,0.0,Knock,46.0,54.0,23.0,5.0,0.0,0.0,0.0,5.0,322.0
L. Milivojević,Luka,Luka,Crystal Palace,5,28.0,Knock,23.0,8.0,0.0,0.0,28.0,23.0,0.0,54.0,61.0
M. Kelly,Martin,Martin,Crystal Palace,14,0.0,Calf/Shin Injury,52.0,66.0,24.0,0.0,0.0,0.0,0.0,0.0,610.0
M. Olise,Michael,Michael,Crystal Palace,2,32.0,Back Injury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
N. Clyne,Nathaniel Edwin,Nathaniel Edwin,Crystal Palace,15,7.0,Knock,75.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,839.0
N. Ferguson,Nathan,Nathan,Crystal Palace,2,135.0,Calf Muscle Strain,170.0,0.0,0.0,0.0,0.0,28.0,0.0,28.0,305.0
T. Mitchell,Tyrick,Tyrick,Crystal Palace,4,0.0,Knock,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0
W. Hughes,Will,Will,Crystal Palace,8,26.0,Hamstring,0.0,45.0,47.0,0.0,0.0,0.0,0.0,24.0,225.0
W. Zaha,Dazet Wilfried Armel,Dazet Wilfried Armel,Crystal Palace,21,0.0,Knock,60.0,11.0,50.0,2.0,0.0,0.0,10.0,32.0,270.0
A. Begović,Asmir,Asmir,Everton,5,0.0,Ankle/Foot Injury,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,84.0
A. Doucouré,Abdoulaye,Abdoulaye,Everton,6,39.0,Ankle/Foot Injury,57.0,0.0,26.0,0.0,15.0,4.0,0.0,25.0,357.0
A. Iwobi,Alexander Chuka,Alexander Chuka,Everton,9,21.0,Thigh Muscle Strain,0.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,138.0
A. Townsend,Andros,Andros,Everton,16,21.0,Ankle/Foot Injury,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0
