Name,Team,Nationalaty,age,Matches Played_x,Matches Starts_x,Minutes / Div By 90_x,Goals_x,Asissts_x,Yellows_x,Reds_x,Total Shots_x,Passes Attemted_x,Passes Total Distance_x,Short Passes_x,Medium Passes_x,Long Passes_x,Cross Passes_x,Head Pases_x,Tackeled_x,Tackeled Dribbels_x,Pressure Applying_x,Blocks_x,Shots Blocks_x,Clearence_x,Touches_x,Touches Defencive Penalty Area_x,Touches Defencive 3RD_x,Touches Mid 3RD_x,Touches Attacking 3RD_x,Touches Attacking Penalty Area_x,Touches Live Game_x,Dribbels Succes_x,Dribbels Attempted_x,Carries_x,Carries To Distance_x,Carries Proggresive_x,Carries Proggresive Foword_x,Carries Tackeled_x,Reciving Passes_x,Fouls Commited_x,Fouls Drawn_x,Tackele Won_x,looseBallRecovered_x,Aerial Duals Won_x,Aerial Duals Lost_x,Matches Played_y,Matches Starts_y,Minutes / Div By 90_y,Goals_y,Asissts_y,Yellows_y,Reds_y,Total Shots_y,Passes Attemted_y,Passes Total Distance_y,Short Passes_y,Medium Passes_y,Long Passes_y,Cross Passes_y,Head Pases_y,Tackeled_y,Tackeled Dribbels_y,Pressure Applying_y,Blocks_y,Shots Blocks_y,Clearence_y,Touches_y,Touches Defencive Penalty Area_y,Touches Defencive 3RD_y,Touches Mid 3RD_y,Touches Attacking 3RD_y,Touches Attacking Penalty Area_y,Touches Live Game_y,Dribbels Succes_y,Dribbels Attempted_y,Carries_y,Carries To Distance_y,Carries Proggresive_y,Carries Proggresive Foword_y,Carries Tackeled_y,Reciving Passes_y,Fouls Commited_y,Fouls Drawn_y,Tackele Won_y,looseBallRecovered_y,Aerial Duals Won_y,Aerial Duals Lost_y,Position_AMF,Position_DF,Position_DMF,Position_FW,Position_GK,Position_MF,Christmas-played-games
Ben Mee,Burnley,1,32,13,13,13.0,2,0,3,0,10,389,6838,91,157,129,1,40,17,7,63,23,13,73,521,78,270,243,24,16,505,1,1,241,1159,468,9,3,248,9,8,8,125,57,21,31,31,31.3,2,0,3,0,23,1044,18309,270,401,349,1,103,38,8,162,61,43,241,1441,250,742,685,65,44,1408,3,5,629,2592,1056,16,3,703,24,21,26,338,128,57,0,1,0,0,0,0,1
Ben White,Arsenal,1,24,18,18,17.4,0,0,1,0,3,802,15112,198,426,161,1,36,20,7,103,28,13,53,955,139,506,491,34,5,935,3,10,638,3763,2120,35,6,646,14,17,14,140,33,18,39,39,38.4,0,0,5,1,13,1766,30785,540,816,375,25,72,56,24,409,69,25,78,2064,201,939,999,270,28,1990,24,41,1376,7068,3793,108,15,1465,41,14,36,302,52,46,0,1,0,0,0,0,2
Benjamin Mendy,Manchester City,0,27,2,2,1.9,0,0,0,0,0,87,1355,30,38,14,8,3,3,2,12,0,0,3,94,0,16,57,28,1,82,1,2,69,302,204,8,1,72,3,0,1,7,2,2,20,17,16.9,2,2,2,0,8,734,10962,272,343,97,54,30,17,7,130,25,5,12,831,22,146,408,317,17,733,15,21,511,1941,1221,62,8,610,20,6,13,87,12,14,0,1,0,0,0,0,3
Bernardo Silva,Manchester City,0,27,23,22,20.2,7,2,4,0,26,1165,16095,622,392,95,48,18,35,16,364,28,1,15,1374,30,179,661,644,120,1334,34,59,1035,5945,3296,198,22,1234,22,23,20,139,11,16,45,39,36.8,5,9,8,0,46,1963,29174,939,738,190,41,38,47,17,607,33,3,13,2257,22,264,1155,1062,154,2167,55,87,1718,11417,6482,349,43,2115,42,48,29,185,15,35,0,0,0,0,0,1,3
Bernd Leno,Arsenal,0,29,6,6,6.0,0,0,0,0,0,87,1543,19,20,47,0,0,0,0,0,0,0,0,99,86,99,0,0,0,70,0,0,50,274,111,0,0,41,0,0,0,12,0,0,49,49,49.1,0,0,1,1,0,1462,27949,339,575,539,0,2,0,0,5,1,0,0,1547,1303,1523,25,1,1,1198,0,0,846,3073,1645,0,0,806,1,7,0,191,0,0,0,0,0,0,1,0,2
Bertrand Traoré,Aston Villa,0,26,5,1,1.3,0,0,0,0,6,25,322,10,11,3,3,1,1,0,9,0,0,0,42,0,2,17,25,7,41,7,11,39,189,93,7,1,46,0,6,0,8,2,4,38,31,27.4,8,6,1,0,69,796,10852,304,274,179,56,30,26,9,389,26,1,16,1124,26,147,463,584,106,1046,51,97,762,3871,1833,97,35,1047,36,50,11,152,31,37,0,0,1,0,0,0,2
Billy Gilmour,Norwich City,0,20,12,11,10.9,0,1,2,0,8,625,11088,196,232,176,11,20,22,7,197,9,2,20,709,26,181,407,168,5,645,5,12,423,2400,1073,44,6,522,20,10,15,82,7,8,11,8,7.8,0,0,0,0,4,306,5265,113,141,47,5,3,4,1,86,5,2,1,340,3,58,217,82,1,334,3,7,264,1027,433,16,3,289,8,8,3,36,3,2,0,0,0,0,0,1,1
Boubakary Soumaré,Leicester City,0,22,22,15,15.6,0,1,2,0,6,686,10142,289,294,81,5,28,26,6,270,17,4,17,828,35,174,520,184,8,820,16,22,577,2828,1111,53,18,661,25,27,17,112,21,14,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Brandon Williams,Norwich City,1,21,12,11,11.1,0,0,4,0,1,526,8073,206,254,54,9,12,26,11,133,23,3,17,670,49,208,305,209,21,595,6,19,423,2154,1196,49,13,437,13,21,14,73,12,7,14,5,7.4,0,0,4,0,2,220,3351,111,80,23,5,7,2,0,29,8,1,8,263,19,118,124,41,2,235,4,9,180,949,495,14,7,178,15,9,9,27,2,2,0,1,0,0,0,0,1
Bruno Fernandes,Manchester Utd,0,27,22,20,19.6,5,9,4,0,47,1087,15654,429,372,237,50,25,38,16,353,18,0,25,1312,40,202,590,608,65,1219,13,23,825,3972,2315,109,32,1172,28,38,27,131,13,17,58,51,50.8,28,18,7,0,165,3097,43717,1270,994,645,153,79,76,21,1029,55,3,40,3692,59,452,1612,1831,185,3395,35,75,2257,10188,5723,302,64,3335,67,98,54,341,23,60,0,0,0,0,0,1,3
Bryan Gil Salvatierra,Tottenham,0,20,11,6,5.5,0,0,1,0,1,33,425,22,5,4,3,0,3,2,27,2,0,0,48,2,9,11,30,2,47,2,3,37,252,154,7,1,36,1,7,6,10,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
Bryan Mbeumo,Brentford,0,22,17,16,15.4,4,1,2,0,38,347,3704,171,96,47,22,20,14,3,220,16,3,9,530,8,49,205,311,60,510,16,34,317,1564,864,45,27,696,13,18,10,79,16,52,46,39,36.0,8,11,4,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,60,22,0,0,0,0,0,0,1,0,0,3
Bukayo Saka,Arsenal,1,20,20,17,15.8,4,4,2,0,43,548,6358,268,178,56,41,6,12,2,177,16,0,6,744,10,90,303,416,86,713,27,48,574,3409,2258,120,31,754,8,41,6,95,13,26,46,41,39.9,7,7,2,0,73,1453,17270,705,479,188,122,34,44,6,491,46,3,36,1941,61,289,744,1042,193,1811,57,105,1427,7459,4559,259,75,1794,39,97,30,208,18,49,1,0,0,0,0,0,2
Callum Hudson Odoi,Chelsea,1,21,17,13,13.1,2,2,1,0,21,410,5587,203,145,44,35,5,14,2,148,15,0,4,521,6,41,179,341,55,502,22,34,417,2682,1710,100,20,503,13,22,8,59,4,12,37,19,20.6,5,5,0,0,41,814,11022,425,256,105,73,7,30,9,195,25,1,11,980,12,110,349,590,87,941,22,39,728,4690,3020,190,19,935,21,15,20,92,9,13,0,0,0,0,0,1,3
Callum Wilson,Newcastle Utd,1,29,14,13,12.7,6,0,4,0,25,149,1537,71,49,11,5,16,7,1,151,8,4,12,304,13,33,132,160,55,287,13,22,175,641,353,19,24,521,25,17,5,35,27,57,28,24,24.5,12,5,2,0,51,366,3521,198,105,14,13,22,13,3,335,18,3,12,636,13,56,290,338,105,607,29,49,440,2308,1373,71,53,1097,50,50,10,87,39,127,0,0,0,1,0,0,1
Calum Chambers,Arsenal,1,26,4,3,3.3,1,0,0,0,3,98,1499,38,42,17,5,4,2,1,24,11,3,7,122,17,49,61,17,1,108,0,0,71,239,106,4,2,73,1,1,4,14,3,2,16,11,11.7,0,3,0,0,12,757,11445,293,327,115,33,31,16,7,120,21,4,51,887,56,325,379,234,29,784,4,9,522,2184,1286,44,7,585,11,4,8,122,31,26,0,1,0,0,0,0,2
Cameron Archer,Aston Villa,1,20,5,2,2.3,4,0,0,0,9,5,91,1,4,0,1,0,0,0,4,0,0,1,12,0,1,2,9,3,12,1,2,7,15,0,0,1,9,6,1,0,2,1,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
Caoimhín Kelleher,Liverpool,0,23,3,3,3.0,0,0,0,0,0,43,944,10,24,9,0,0,0,0,0,0,0,0,44,30,44,0,0,0,34,0,0,24,66,41,0,0,26,0,0,0,4,0,0,5,5,5.0,0,0,1,0,0,156,3495,19,53,83,0,0,0,0,1,0,0,0,170,151,170,0,0,0,121,0,0,73,271,87,0,0,81,1,0,0,14,0,0,0,0,0,0,1,0,2
Carney Chukwuemeka,Aston Villa,1,17,6,2,2.5,0,1,0,0,2,35,451,16,14,2,0,1,1,1,35,2,0,0,51,0,7,27,19,7,51,2,5,43,161,81,4,2,51,3,4,1,11,1,6,2,0,0.2,0,0,0,0,1,8,88,3,2,2,0,0,2,1,14,1,0,0,12,0,2,4,6,2,12,0,0,8,33,16,1,0,21,2,0,2,0,1,4,1,0,0,0,0,0,2
Charlie Cresswell,Leeds United,1,19,5,2,2.4,0,0,0,0,1,70,1178,14,31,25,0,4,4,1,21,1,1,6,84,15,61,29,2,0,84,1,1,57,481,309,2,0,60,1,3,2,9,4,3,1,1,1.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,1,0,0,0,0,1
Charlie Goode,Brentford,1,26,8,6,7.0,0,0,3,0,4,294,4583,52,137,97,14,27,8,4,36,5,2,13,332,21,119,160,74,11,259,5,7,160,960,471,13,1,169,7,10,6,56,19,9,12,7,8.1,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,2,0,0,0,0,1,0,0,0,0,3
Charlie Taylor,Burnley,1,28,15,14,14.4,0,1,1,0,3,660,8507,261,219,153,35,39,27,16,111,56,11,50,857,84,302,378,234,6,713,11,23,415,2956,1248,56,10,402,9,20,10,136,28,16,32,31,30.0,0,1,1,0,4,1298,16840,491,455,302,87,78,46,22,226,67,19,96,1587,130,521,780,404,12,1335,27,46,826,5659,2493,112,13,897,12,46,28,250,46,26,0,1,0,0,0,0,1
Che Adams,Southampton,0,25,14,12,10.7,4,1,0,0,23,189,1797,99,49,17,4,13,8,1,139,15,4,9,321,17,45,137,155,44,315,4,12,199,776,365,16,20,437,18,25,6,57,22,50,42,33,33.0,9,5,1,0,62,633,7359,302,184,73,15,36,30,6,430,26,4,16,976,22,98,444,492,110,965,25,44,630,2627,1169,67,52,1474,34,72,20,119,47,141,0,0,0,1,0,0,2
Cheikhou Kouyaté,Crystal Palace,0,32,16,14,13.7,0,1,0,0,5,464,6631,197,201,46,2,28,37,8,223,39,11,35,639,60,243,352,68,6,628,8,12,362,1494,630,16,11,328,26,19,23,160,41,20,37,35,35.2,1,0,4,0,7,1217,19698,390,497,295,4,73,70,26,350,62,28,162,1565,241,908,646,71,28,1511,6,9,783,3715,1592,28,11,876,43,20,36,310,94,51,0,0,0,0,0,1,3
Chris Wood,Burnley,0,30,18,16,14.8,3,0,1,0,28,262,2437,159,73,14,6,40,9,3,171,14,5,6,390,10,24,170,205,42,382,5,9,172,525,219,14,14,665,13,8,6,40,89,87,37,33,32.7,12,4,0,0,72,658,5847,381,187,23,4,98,17,6,354,27,4,19,967,23,70,403,528,138,946,13,26,480,1496,648,32,54,1732,46,36,11,101,168,215,0,0,0,1,0,0,1
Christian Benteke,Crystal Palace,0,31,18,10,11.3,4,1,3,0,37,256,2657,132,85,23,1,28,7,2,99,8,4,25,387,33,56,178,167,74,370,7,14,191,918,424,23,9,541,14,14,2,37,71,51,31,22,20.9,10,1,3,1,71,573,5051,326,171,30,6,60,13,0,240,17,6,37,848,47,85,428,360,127,829,16,29,357,1293,594,41,27,1206,38,26,9,79,212,150,0,0,0,1,0,0,3
Christian Kabasele,Watford,0,30,4,3,3.3,0,0,0,0,2,104,2244,17,61,26,0,3,0,0,10,8,3,10,128,28,105,27,1,1,128,0,0,76,262,132,3,0,84,2,0,0,15,6,1,21,19,19.4,1,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,11,0,0,0,0,1,0,0,0,0,2
Christian Nørgaard,Brentford,0,27,18,16,16.2,1,1,4,0,17,765,11177,307,314,116,5,61,65,24,314,25,4,19,934,47,255,572,143,30,887,5,10,467,1988,1019,41,11,557,39,16,50,198,31,28,21,16,16.3,1,1,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,24,0,0,0,0,0,0,0,0,1,3
Christian Pulisic,Chelsea,0,23,13,5,7.3,2,1,0,0,12,171,1796,101,47,7,9,0,3,0,103,5,0,5,248,3,23,86,155,39,240,6,15,178,1028,477,34,8,288,7,17,2,24,6,19,43,25,27.3,6,4,4,0,69,868,10432,480,273,61,39,32,29,7,413,35,4,10,1267,12,129,600,654,155,1252,63,117,984,5915,3559,206,62,1277,24,75,21,165,25,63,1,0,0,0,0,0,3
Christos Tzolis,Norwich City,0,19,9,4,4.0,2,2,0,0,13,63,751,26,20,11,14,3,4,2,40,1,0,1,89,3,13,32,49,14,88,0,2,67,386,240,11,2,96,3,7,1,10,2,11,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Ciaran Clark,Newcastle Utd,0,32,13,13,12.0,0,1,2,1,7,344,5276,102,167,65,5,22,17,9,75,14,10,48,443,76,255,171,34,21,436,3,4,246,1138,497,13,0,264,6,8,14,84,34,14,26,25,24.8,1,0,4,0,8,747,12686,227,345,157,1,53,27,3,156,45,20,134,992,187,621,344,58,18,970,6,9,493,2325,1134,25,1,578,19,15,17,168,79,35,0,1,0,0,0,0,1
Cody Drameh,Leeds United,1,20,4,2,2.4,0,0,1,0,0,77,924,44,23,4,2,3,6,2,29,2,0,2,94,3,37,43,22,2,68,2,4,45,281,162,9,1,46,2,0,4,9,0,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Cole Palmer,Manchester City,1,19,10,3,3.7,2,0,0,0,12,73,840,41,20,7,7,2,5,1,46,3,0,1,107,2,14,42,57,17,107,2,6,83,393,200,9,7,98,4,1,6,13,2,1,2,1,1.1,0,0,0,0,2,5,62,3,2,0,1,0,0,0,3,0,0,0,5,0,0,1,5,0,5,0,0,4,8,2,0,0,7,2,0,0,1,0,0,1,0,0,0,0,0,3
Connor Roberts,Burnley,0,26,2,1,1.2,0,0,1,0,0,7,141,2,2,3,1,1,1,1,2,1,0,4,14,5,7,5,2,0,13,0,0,5,18,7,1,0,4,3,4,2,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Conor Bradley,Liverpool,0,18,4,2,1.9,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,3,3,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
Conor Coady,Wolves,1,28,20,19,20.2,1,0,1,0,5,739,17084,105,384,240,2,26,15,7,96,30,23,77,886,211,573,342,14,8,862,1,1,536,2647,1333,16,1,608,9,3,12,104,18,17,40,40,39.7,1,0,6,0,8,1789,40617,303,846,618,1,77,31,14,203,59,39,163,2073,420,1352,805,17,12,2019,7,9,1281,6008,2639,29,3,1462,28,14,23,270,40,29,0,1,0,0,0,0,1
Conor Gallagher,Crystal Palace,1,21,17,17,16.3,6,3,5,0,34,602,8747,237,221,116,45,21,42,8,371,24,6,17,825,30,152,400,330,56,753,30,39,545,2644,1149,63,30,579,39,32,27,146,16,16,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Craig Cathcart,Watford,0,32,14,14,13.3,0,1,3,0,1,453,8234,100,213,131,2,42,12,4,89,29,15,64,577,108,305,248,41,4,537,0,0,249,1026,453,6,1,281,11,4,7,130,36,20,25,20,21.3,1,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,19,0,0,0,0,1,0,0,0,0,2
Craig Dawson,West Ham,1,31,21,17,18.3,1,0,2,0,21,638,12487,151,302,171,2,29,14,4,86,31,25,53,777,110,403,360,46,26,767,1,1,461,2312,1035,26,4,524,17,7,13,120,57,29,25,25,24.7,4,0,5,1,20,718,14128,140,328,237,0,44,13,3,145,32,25,133,945,180,575,375,38,22,918,0,0,497,2632,1203,21,0,551,25,18,12,153,65,28,0,1,0,0,0,0,3
Cristian Romero,Tottenham,0,23,11,10,9.9,0,0,6,1,0,322,5771,94,158,64,0,13,16,5,78,17,9,23,390,55,214,190,12,3,383,0,0,249,1331,681,10,1,254,7,6,16,55,21,6,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
Cristiano Ronaldo,Manchester Utd,0,36,18,16,16.2,13,2,4,0,64,501,6126,288,160,22,9,23,2,1,103,5,0,17,679,18,50,305,354,108,649,15,28,406,1945,1086,78,18,824,12,19,2,64,24,42,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
Crysencio Summerville,Leeds United,0,20,7,1,2.4,0,0,1,0,2,63,671,31,24,4,5,0,5,2,18,1,0,0,85,2,16,26,47,7,84,3,6,70,340,148,11,5,69,6,6,4,14,1,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Cucho,Watford,0,22,14,7,8.8,2,2,1,0,22,214,2475,79,75,43,28,15,4,1,128,10,0,2,294,6,47,123,150,19,268,16,25,194,1027,623,35,9,284,15,10,4,50,21,25,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
Curtis Jones,Liverpool,1,20,9,6,6.7,1,3,0,0,13,308,4726,149,122,30,0,6,9,3,111,2,0,2,364,6,49,231,114,12,361,5,7,278,1530,821,45,11,320,8,12,7,39,2,3,34,22,21.7,4,5,4,0,36,1226,18805,584,474,130,13,39,28,10,326,30,1,17,1430,26,200,837,513,42,1414,23,38,1121,5800,2923,154,34,1266,29,32,25,158,18,26,0,0,0,0,0,1,2
Cédric Soares,Arsenal,0,30,7,5,5.4,0,2,2,0,2,83,1144,31,34,13,27,6,3,2,27,4,2,6,99,14,35,41,26,0,83,0,1,49,199,88,4,0,62,5,3,6,14,2,5,24,19,20.1,0,2,4,0,13,930,12656,423,339,133,81,29,25,10,172,31,4,38,1082,45,272,491,388,18,927,10,17,671,3673,2118,114,16,738,14,12,23,114,15,20,0,1,0,0,0,0,2
César Azpilicueta,Chelsea,0,32,20,17,16.4,0,3,1,0,7,1133,15516,511,477,107,38,47,33,13,200,43,7,36,1278,73,353,599,384,34,1171,9,10,772,2988,1758,94,6,967,16,6,18,115,33,21,43,40,40.1,1,3,7,1,18,2755,41113,1121,1244,309,50,106,77,31,531,60,15,143,3123,200,1106,1498,643,51,2855,8,14,1800,7428,4553,146,14,2251,60,27,49,323,86,68,0,0,1,0,0,0,3
Dan Burn,Brighton,1,29,9,8,6.9,0,0,2,0,3,318,4800,87,166,55,4,22,15,6,70,13,4,22,387,46,190,189,33,4,375,0,1,222,1095,591,15,2,269,13,2,11,51,19,9,32,28,27.9,1,0,6,0,19,1242,16883,488,572,142,37,85,47,21,310,39,7,95,1516,115,491,732,378,43,1369,17,22,845,4343,2392,78,14,1036,49,10,27,195,99,41,0,1,0,0,0,0,3
Dan Gosling,Watford,1,31,2,1,1.1,0,0,0,0,3,7,61,5,1,1,0,0,0,0,5,0,0,1,9,2,6,3,1,0,9,0,0,3,5,5,0,0,4,2,0,0,3,1,0,13,6,6.5,2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,4,0,0,0,0,0,0,0,0,1,2
Dane Scarlett,Tottenham,1,17,3,2,1.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.2,0,1,0,0,2,6,21,2,1,2,1,0,1,0,5,0,0,0,12,0,1,2,9,4,12,0,1,8,23,20,2,1,15,0,1,1,1,0,0,0,0,0,1,0,0,3
Daniel Amartey,Leicester City,0,27,14,13,12.6,1,0,1,0,4,737,13357,235,382,104,1,34,13,5,85,17,8,36,835,70,370,464,43,4,822,4,9,615,2784,1699,49,2,645,14,7,8,97,19,16,17,13,12.7,1,0,3,0,3,529,8519,169,264,76,0,25,13,7,69,19,5,47,637,75,334,293,45,8,589,1,5,369,1449,790,15,5,396,3,3,9,114,26,17,0,1,0,0,0,0,2
Daniel Bachmann,Watford,0,27,8,8,8.0,0,0,0,0,0,243,5303,16,59,168,0,0,0,0,0,0,0,0,271,234,269,2,0,0,191,1,1,123,635,416,0,0,102,0,1,0,39,0,0,26,26,26.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,0,2
Daniel James,Leeds United,0,24,18,17,15.2,1,1,0,0,32,287,2775,149,94,27,34,9,21,6,216,11,0,8,441,12,49,153,273,64,431,10,28,313,2100,1264,79,21,477,12,24,13,66,7,19,26,18,16.9,5,2,3,0,30,464,5064,257,142,24,34,9,20,4,331,18,1,8,637,10,80,253,360,64,633,16,26,457,2877,1734,93,30,639,20,33,16,81,13,16,1,0,0,0,0,0,1
Daniel Podence,Wolves,0,26,14,6,6.5,2,2,0,0,19,170,1994,83,53,18,15,6,3,2,57,3,0,0,219,0,27,81,132,16,208,14,23,174,904,628,40,6,254,3,11,3,22,1,8,25,22,18.6,3,2,3,0,32,636,8742,285,219,96,29,14,18,6,243,7,1,6,818,10,105,414,373,66,793,37,65,646,3275,1920,87,30,820,15,34,7,113,8,21,1,0,0,0,0,0,1
Danny Ings,Aston Villa,1,29,12,10,9.7,3,2,1,0,12,160,1399,85,43,15,12,14,8,3,160,14,3,6,258,8,30,108,128,55,244,8,16,130,547,288,14,5,328,6,7,3,45,7,25,33,30,28.0,13,4,1,0,67,519,5196,261,152,63,25,25,25,11,391,47,3,17,818,24,84,376,405,122,805,37,64,550,2252,1033,59,33,1027,29,29,14,109,21,62,0,0,0,1,0,0,2
Danny Rose,Watford,1,31,9,8,8.7,0,0,5,0,4,331,4638,91,132,88,17,20,23,12,85,15,6,13,410,34,138,182,112,4,306,9,15,175,835,508,25,6,192,13,19,16,51,4,7,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
Danny Ward,Leicester City,0,28,2,2,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5.0,0,0,0,0,0,53,1161,8,13,32,0,1,0,0,0,0,0,0,55,50,55,1,0,0,39,0,0,33,196,68,0,0,32,0,0,0,6,0,0,0,0,0,0,1,0,2
Danny Welbeck,Brighton,1,31,4,3,2.7,1,0,0,0,4,42,455,24,10,4,0,3,3,0,49,5,0,1,76,2,6,31,44,9,75,2,3,44,228,137,10,9,101,2,4,2,9,5,7,24,17,17.2,6,1,0,0,33,268,2962,166,63,16,5,12,12,4,255,23,3,11,449,17,44,156,275,94,444,17,28,312,1528,820,44,24,733,21,20,8,61,20,47,1,0,0,0,0,0,3
David Raya,Brentford,0,26,9,9,9.0,0,0,0,0,0,413,8805,42,112,256,0,1,0,0,0,0,0,0,433,351,430,5,0,0,327,0,0,218,1116,585,0,0,216,0,1,0,59,0,0,45,45,45.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,1,0,3
David de Gea,Manchester Utd,0,31,21,21,21.0,0,0,0,0,0,487,10609,63,162,255,0,0,0,0,1,0,0,0,546,514,546,0,0,0,346,0,0,190,839,420,0,0,204,0,0,0,50,0,0,36,36,35.8,0,0,0,0,0,858,18003,173,265,410,0,2,0,0,1,0,0,1,929,849,927,2,0,0,618,0,0,348,1415,611,0,0,366,0,4,0,121,0,0,0,0,0,0,1,0,3
Davinson Sánchez,Tottenham,0,25,15,12,12.9,1,0,2,0,7,335,5900,100,162,66,0,13,17,8,78,16,8,39,427,62,233,194,20,8,421,0,1,251,1284,567,21,4,291,12,6,12,53,22,19,29,28,28.2,2,0,3,0,12,1428,26663,378,707,317,0,74,58,25,230,35,19,164,1714,248,968,808,24,11,1680,0,0,1069,5090,2269,56,4,1144,37,21,40,256,71,40,0,1,0,0,0,0,3
Dean Henderson,Manchester Utd,1,24,2,2,1.7,0,0,0,0,0,30,479,1,15,14,0,0,0,0,0,0,0,0,34,31,34,0,0,0,28,0,0,16,90,36,0,0,14,0,0,0,5,0,0,26,25,25.8,0,0,3,0,0,455,9168,78,168,207,0,0,0,0,4,0,0,1,501,445,500,1,0,0,351,0,0,213,1076,572,0,0,189,0,3,0,69,0,0,0,0,0,0,1,0,3
Declan Rice,West Ham,1,22,22,22,21.6,3,3,5,0,18,1190,21228,439,526,203,21,49,48,15,291,37,13,24,1396,79,392,890,263,31,1378,22,34,986,7073,3535,132,14,1001,31,13,30,217,31,14,35,35,35.3,2,1,2,0,26,1506,25003,580,628,261,36,64,77,24,495,54,13,46,1800,99,508,1125,327,40,1776,33,37,1197,8223,4320,165,21,1271,27,20,58,315,47,29,0,0,0,0,0,1,3
