Name,Team,Number of Inj,inj22,Freq Inj,inj days 20-21,inj days 19-20,inj days 18-19,Sus days 22,sus days 20-21,sus days 19-20,sus days 18-19,Career Suspension days,Career INJ days,Suspended,Knock,Hamstring,Ankle/Foot Injury,Knee Injury,Thigh Muscle Strain,Groin/Pelvis Injury,Illness,Virus,Calf/Shin Injury,Groin Strain,Back Injury,Hip/Thigh Injury,Calf Muscle Strain,Thigh Muscle Rupture,Shoulder Injury,Head Injury,Foot Injury,ACL Knee Ligament Injury,Ankle Ligaments,MCL Knee Ligament Injury,Concussion,Sprained Ankle,Rib Injury,Toe Injury,Achilles tendonitis,Thumb / Wrist Injury
Edinson Cavani,Manchester United,23,73,Knock,53,83,75,0,10,0,0,23,375,3,5,0,1,1,5,0,2,1,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Edouard Mendy,Chelsea,3,0,Hand Injury,3,19,0,0,0,0,0,0,64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elliott Anderson,Newcastle United,2,6,Groin/Pelvis Injury,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emerson,Tottenham Hotspur,2,15,Knock,14,0,0,0,6,10,0,16,29,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emi Buendía,Aston Villa,5,10,Ankle/Foot Injury,0,12,0,0,0,0,13,414,78,4,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emil Krafth,Newcastle United,6,3,Ankle/Foot Injury,6,149,0,0,0,0,0,0,210,0,1,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emile Smith Rowe,Arsenal,12,6,Groin/Pelvis Injury,62,18,150,0,0,0,0,0,236,0,2,2,1,0,0,2,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Emiliano Martínez,Aston Villa,1,0,Groin/Pelvis Injury,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emmanuel Dennis,Watford,3,6,Ankle/Foot Injury,40,0,0,7,0,7,14,28,46,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enock Mwepu,Brighton & Hov…,3,41,Knock,0,0,0,0,0,0,0,0,41,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Bailly,Manchester United,24,28,Knock,81,5,132,0,0,0,0,21,620,3,9,1,0,4,1,0,0,1,0,2,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
Eric Dier,Tottenham Hotspur,13,0,Thigh Muscle Strain,12,18,111,0,0,12,0,25,167,2,0,1,0,1,2,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Erik Pieters,Burnley,18,0,Knock,55,1,0,0,0,0,0,28,427,2,3,2,1,0,2,0,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Ethan Pinnock,Brentford,2,5,Ankle/Foot Injury,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ezri Konsa,Aston Villa,4,12,Thigh Muscle Strain,12,17,0,18,0,0,6,24,41,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabian Delph,Everton,33,70,Knock,137,94,75,0,0,7,19,85,1335,10,9,4,2,5,2,2,3,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
Fabian Schär,Newcastle United,16,6,Knock,111,57,23,0,17,0,4,49,280,5,4,2,0,2,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Fabinho,Liverpool,11,30,Knock,53,50,22,0,0,0,0,64,181,10,3,2,1,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Federico Fernández,Newcastle United,13,0,Calf/Shin Injury,88,0,35,0,0,0,0,13,267,2,2,1,1,0,1,0,0,1,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Fernandinho,Manchester City,15,0,Knock,41,9,94,0,0,10,0,75,204,7,11,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fernando Marçal,Wolverhampton …,17,35,Calf Muscle Strain,167,53,36,0,0,21,11,41,462,6,2,1,0,0,2,3,0,1,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferrán Torres,Manchester City,3,0,Hamstring,11,4,0,0,0,0,8,8,95,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Filip Benković,Leicester City,2,0,Groin/Pelvis Injury,35,0,0,0,0,0,0,0,53,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francisco Sierralta,Watford,2,32,Hamstring,0,0,0,0,0,0,0,0,71,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francisco Trincão,Wolverhampton …,1,7,Virus,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fraser Forster,Southampton,3,21,Abdominal Strain,0,0,0,0,0,0,0,0,321,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fred,Manchester United,2,4,Ankle/Foot Injury,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Freddie Woodman,Newcastle United,1,54,Knock,0,0,0,0,0,0,0,0,54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fábio Silva,Wolverhampton …,1,0,Virus,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Dos Santos,Arsenal,4,15,Knee Injury,20,0,0,15,3,6,0,24,89,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Jesus,Manchester City,12,6,Knock,53,32,23,0,0,0,0,0,250,0,4,2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Giovani Lo Celso,Tottenham Hotspur,9,41,Hamstring,123,56,0,0,0,0,10,10,224,2,2,2,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Granit Xhaka,Arsenal,10,89,Groin Strain,15,27,44,26,13,0,4,83,179,7,0,0,1,0,0,1,1,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Grant Hanley,Norwich City,10,18,Groin/Pelvis Injury,0,106,0,0,0,0,0,55,396,4,1,0,1,1,1,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gylfi Þór Sigurðsson,Everton,9,0,Knock,3,31,0,0,0,0,0,18,155,1,2,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hakim Ziyech,Chelsea,12,9,Calf Muscle Strain,73,34,35,0,0,0,0,31,160,4,1,1,1,1,0,0,1,0,2,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0
Hamza Choudhury,Leicester City,1,15,Illness,0,0,0,0,0,7,0,14,15,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry Kane,Tottenham Hotspur,23,13,Ankle/Foot Injury,21,150,90,0,0,0,0,0,554,0,4,2,8,2,0,0,1,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Harry Maguire,Manchester United,9,19,Ankle/Foot Injury,25,8,42,8,0,0,14,36,117,5,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Harry Winks,Tottenham Hotspur,10,0,Ankle/Foot Injury,6,8,83,0,0,2,0,2,430,1,1,0,5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Harvey Barnes,Leicester City,2,0,Knee Injury,0,0,0,0,0,0,0,0,166,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harvey Elliott,Liverpool,2,13,Ankle/Foot Injury,0,0,0,0,0,0,0,0,126,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hugo Bueno López,Wolverhampton …,1,1,Thigh Muscle Rupture,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hugo Lloris,Tottenham Hotspur,16,0,Knock,11,119,37,0,0,0,0,0,275,0,4,1,0,2,1,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Hwang Hee chan,Wolverhampton …,4,0,Knock,52,0,0,0,0,0,0,0,70,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hélder Costa,Leeds United,11,18,Hamstring,15,33,83,12,0,3,7,22,186,3,3,3,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ibrahima Diallo,Southampton,4,5,Knock,35,44,0,0,0,0,0,0,84,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibrahima Konaté,Liverpool,6,0,Hip/Thigh Injury,49,198,0,0,0,0,8,8,330,1,0,0,1,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Illan Meslier,Leeds United,1,0,Illness,22,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imran Louza,Watford,0,0,,0,0,0,0,28,0,0,28,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaac Hayden,Newcastle United,10,19,Knee Injury,20,19,20,14,8,28,16,73,250,6,2,0,1,2,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ismaila Sarr,Watford,8,0,Hamstring,0,57,0,0,0,0,2,5,258,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Issa Diop,West Ham United,7,0,Back Injury,41,0,0,0,0,14,0,49,117,9,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ivan Toney,Brentford,2,19,Ankle/Foot Injury,0,0,0,0,0,36,7,81,40,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Butland,Crystal Palace,5,0,Ankle Fracture,14,0,0,0,0,0,0,0,391,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Cork,Burnley,12,0,Ankle/Foot Injury,31,32,10,0,0,0,0,0,406,0,2,1,5,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jack Grealish,Manchester City,8,17,Ankle/Foot Injury,81,28,0,0,0,0,0,27,199,3,1,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jack Stephens,Southampton,3,75,Knee Injury,0,0,12,0,0,0,0,30,96,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaden Philogene Bidace,Aston Villa,2,28,Knock,0,0,0,0,0,0,0,0,28,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jadon Sancho,Manchester United,8,6,Knock,58,3,2,0,0,0,0,0,69,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jamaal Lascelles,Newcastle United,20,32,Ankle/Foot Injury,149,89,77,4,0,0,0,18,413,3,1,2,8,2,2,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Jamal Lewis,Newcastle United,7,0,Knee Injury,6,22,0,0,0,0,0,0,82,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Justin,Leicester City,1,0,ACL Knee Ligament Injury,0,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
James Maddison,Leicester City,14,10,Knee Injury,62,19,30,0,0,0,5,7,199,2,2,0,1,4,0,1,2,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
James McArthur,Crystal Palace,16,0,Knock,124,24,5,0,0,0,0,0,498,0,5,1,0,1,1,0,2,0,1,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
James Milner,Liverpool,31,59,Hamstring,57,77,47,0,0,0,0,24,370,3,8,9,0,3,2,0,1,0,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
James Tarkowski,Burnley,9,0,Groin Strain,13,0,42,12,0,0,0,38,192,6,3,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
James Tomkins,Crystal Palace,31,0,Calf Muscle Strain,137,0,55,0,0,0,7,18,1172,3,5,4,3,2,2,1,2,0,0,2,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
James Ward Prowse,Southampton,7,1,Knee Injury,20,8,0,25,0,0,0,32,130,2,0,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamie Shackleton,Leeds United,5,26,Knock,56,0,0,0,0,0,0,0,102,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jamie Vardy,Leicester City,25,1,Groin Strain,46,24,39,0,0,0,16,51,176,6,0,2,1,0,2,4,1,0,3,7,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Jan Bednarek,Southampton,5,7,Calf/Shin Injury,7,5,0,0,0,0,3,3,24,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Jannik Vestergaard,Leicester City,10,43,Groin Strain,47,32,83,0,0,0,0,0,205,0,2,0,0,2,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Japhet Tanganga,Tottenham Hotspur,5,0,Ankle Ligaments,86,26,0,3,0,0,0,3,198,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Jarrad Branthwaite,Everton,1,0,Ankle/Foot Injury,44,0,0,0,0,0,0,0,44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarrod Bowen,West Ham United,1,0,Knock,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason Steele,Brighton & Hov…,3,0,Knock,28,0,110,0,0,0,0,21,142,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Javier Manquillo,Newcastle United,10,3,Knock,54,59,25,6,0,0,0,6,225,1,3,0,2,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jay Rodriguez,Burnley,18,14,Ankle/Foot Injury,45,27,0,0,0,0,0,0,822,0,3,0,4,2,2,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
Jaïro Riedewald,Crystal Palace,9,0,Knee Injury,16,6,24,0,0,0,0,6,154,1,3,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean Philippe Gbamin,Everton,7,17,Thigh Muscle Strain,46,239,26,0,0,0,0,16,660,2,1,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean Philippe Mateta,Crystal Palace,2,0,Knee Injury,0,0,1,0,0,70,0,70,137,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jed Steer,Aston Villa,3,13,Calf/Shin Injury,0,220,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Hendrick,Newcastle United,2,0,Thigh Muscle Strain,6,0,0,0,9,6,0,40,35,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeffrey Schlupp,Crystal Palace,16,21,Knock,100,115,0,0,0,0,0,3,611,1,6,4,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy Ngakia,Watford,1,0,Illness,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy Sarmiento,Brighton & Hov…,1,0,Thigh Muscle Rupture,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jesse Lingard,Manchester United,17,14,Hamstring,60,35,74,0,0,0,0,15,384,2,3,5,1,2,0,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Joachim Andersen,Crystal Palace,4,23,Ankle/Foot Injury,16,0,0,0,0,0,0,13,79,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Joe Gomez,Liverpool,10,40,Ankle/Foot Injury,258,1,129,0,0,0,0,0,879,0,2,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Joe Rodon,Tottenham Hotspur,1,32,Knock,0,0,0,0,0,0,0,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Willock,Newcastle United,4,13,Calf/Shin Injury,2,12,0,0,0,0,0,0,35,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel Ward,Crystal Palace,13,0,Knock,46,54,23,5,0,0,0,5,322,1,5,0,1,2,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Joelinton,Newcastle United,9,0,Ankle/Foot Injury,14,23,55,0,0,0,0,0,92,0,2,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John McGinn,Aston Villa,2,5,Ankle/Foot Injury,0,166,0,0,4,0,17,21,171,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
John Ruddy,Wolverhampton …,1,0,Hip/Thigh Injury,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Stones,Manchester City,22,13,Knock,10,97,38,0,0,0,0,0,407,0,6,2,3,2,2,1,1,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
Jonathan Castro Otto,Wolverhampton …,4,0,Knee Injury,183,103,25,0,0,0,0,54,602,8,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonjo Shelvey,Newcastle United,24,64,Hamstring,51,75,129,6,0,0,0,152,490,13,4,6,0,3,4,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Jonjoe Kenny,Everton,4,0,Ankle Ligaments,29,18,42,0,0,7,0,7,89,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Jonny Evans,Leicester City,52,63,Ankle/Foot Injury,63,6,30,0,3,0,2,58,736,5,8,7,9,3,3,2,2,1,4,0,4,4,1,1,0,0,1,0,0,0,0,0,0,1,0,0
Jordan Ayew,Crystal Palace,3,0,Knock,10,0,10,0,0,0,0,208,27,11,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Henderson,Liverpool,28,20,Ankle/Foot Injury,102,20,42,0,0,0,8,30,607,2,3,3,5,2,2,2,2,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
Jordan Pickford,Everton,5,5,Abdominal Strain,48,0,0,0,0,0,0,4,122,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jorginho,Chelsea,1,7,Knock,0,0,0,0,0,120,0,120,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Brownhill,Burnley,4,5,Ankle/Foot Injury,27,0,0,0,0,0,4,4,35,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Sargent,Norwich City,4,14,Back Injury,0,30,0,0,15,0,0,15,44,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joshua King,Watford,27,9,Hamstring,9,173,43,0,0,0,0,0,367,0,1,11,5,1,0,1,1,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
João Cancelo,Manchester City,4,0,Foot Injury,16,0,0,3,5,0,0,56,109,7,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
João Moutinho,Wolverhampton …,14,0,Ankle/Foot Injury,33,0,0,0,3,0,0,9,219,2,2,0,2,0,2,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
João Pedro,Watford,1,43,Knee Injury,0,0,0,0,0,0,0,0,43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joël Matip,Liverpool,17,0,Knock,250,143,30,0,0,0,0,0,583,0,5,0,4,1,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Joël Veltman,Brighton & Hov…,15,9,Knee Injury,32,127,180,0,0,0,0,14,565,3,2,2,0,5,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Juan Camilo Hernández Suárez,Watford,4,0,Hamstring,99,100,9,0,23,3,8,40,208,5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Mata,Manchester United,3,0,Groin/Pelvis Injury,43,0,19,0,0,0,0,7,91,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julian Jeanvier,Brentford,5,0,Knee Injury,209,0,0,0,0,21,0,21,424,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Juraj Kucka,Watford,1,13,Thigh Muscle Strain,0,0,0,13,0,0,0,13,13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jóhann Berg Guðmundsson,Burnley,23,0,Thigh Muscle Strain,90,280,101,0,0,0,0,21,589,1,1,5,1,2,7,1,0,0,1,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Jürgen Locadia,Brighton & Hov…,9,0,Ankle/Foot Injury,0,4,8,0,0,0,0,0,304,0,1,1,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kai Havertz,Chelsea,9,5,Knock,46,29,4,0,0,0,0,0,95,0,2,1,0,1,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kalvin Phillips,Leeds United,5,17,Calf/Shin Injury,69,0,0,0,10,28,23,94,112,9,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Karl Darlow,Newcastle United,10,0,Ankle/Foot Injury,55,11,106,0,0,0,0,0,360,0,2,0,3,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kasper Schmeichel,Leicester City,6,0,Ankle/Foot Injury,0,0,0,0,0,0,0,0,258,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Keinan Davis,Aston Villa,5,82,Thigh Muscle Strain,37,115,0,0,0,0,0,0,234,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelechi Iheanacho,Leicester City,7,16,Toe Injury,0,4,0,0,0,0,0,0,69,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
Ken Sema,Watford,1,39,Knee Injury,0,0,0,0,0,0,0,0,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenny McLean,Norwich City,1,0,Back Injury,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kepa Arrizabalaga,Chelsea,5,0,Hamstring,25,0,3,0,0,0,0,0,154,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Kevin De Bruyne,Manchester City,19,48,Hamstring,63,23,159,0,0,0,0,0,377,0,3,4,3,3,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Long,Burnley,7,0,Knee Injury,12,30,0,0,0,0,0,28,655,3,1,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kieran Dowell,Norwich City,1,7,Illness,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kieran Tierney,Arsenal,8,18,Groin/Pelvis Injury,87,139,0,0,0,0,0,0,244,0,1,0,1,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kiko Femenía,Watford,14,25,Knock,0,60,53,0,0,0,0,20,260,2,6,4,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kjell Scherpen,Brighton & Hov…,1,0,Ankle/Foot Injury,0,0,0,0,0,0,0,0,56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kortney Hause,Aston Villa,4,0,Ankle/Foot Injury,166,21,0,0,0,0,0,0,187,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Kostas Tsimikas,Liverpool,3,0,Hip/Thigh Injury,94,0,0,0,0,0,0,0,94,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kristoffer Ajer,Brentford,2,5,Ankle Fracture,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
